group,store,review_length,length_under_10,length_under_30,length_over_30,length_over_60,account_review_count,account_review_count_is_1,account_review_count_under_5,account_review_count_over_10,account_review_count_over_50,first_visit,revisit,has_photo,rating,account_avg_rating,experience_count,has_experience,strong_experience_review,context_count,has_context,has_any_number,number_detail_count,has_number_detail,generic_praise_count,has_generic_praise,short_generic_review,ultra_short_praise,generic_without_detail,intensifier_count,intensifier_over_3,exclamation_count,exclamation_over_3,sns_event_count,has_sns_event,mixed_sentiment,has_trendy_revisit_phrase,experience_rich_review,rich_context_review,low_information_review,event_like_short_praise,event_like_sns_or_service,event_like_low_info_first_visit
event,이태리국시,86.637,0.0,0.102,0.898,0.632,54.46,0.009,0.083,0.848,0.211,0.98,0.02,1.0,,,0.817,0.492,0.203,0.391,0.288,0.063,0.026,0.018,1.495,0.868,0.083,0.0,0.354,0.803,0.075,1.418,0.202,0.015,0.011,0.217,0.14,0.595,0.414,0.063,0.083,0.011,0.06
normal,난포,110.112,0.048,0.188,0.812,0.651,506.081,0.002,0.015,0.958,0.763,0.917,0.083,1.0,,,0.866,0.425,0.226,0.301,0.21,0.274,0.305,0.176,1.053,0.678,0.094,0.017,0.311,0.491,0.039,0.943,0.132,0.029,0.028,0.244,0.062,0.522,0.419,0.171,0.094,0.028,0.154
