dataset,accuracy,precision_real_1,recall_real_1,f1_real_1,precision_fake_0,recall_fake_0,f1_fake_0,wrong_cases,total,tn_fake_correct,fp_fake_to_real,fn_real_to_fake,tp_real_correct
TRAIN,0.7300796812749004,0.6888686131386861,0.7897489539748954,0.7358674463937622,0.7796052631578947,0.6758555133079848,0.7240325865580448,542,2008,711,341,201,755
TEST,0.7450199203187251,0.7032967032967034,0.803347280334728,0.75,0.7947598253275109,0.6920152091254753,0.7398373983739838,128,502,182,81,47,192
