group,review_length,length_over_30,length_over_60,food_detail_count,has_food_detail,strong_food_detail_review,weak_detail_review,menu_count,has_menu,rich_menu_review,menu_and_food_detail,high_specificity_review,experience_count,has_experience,strong_experience_review,weak_experience_review,context_count,has_context,weak_context_review,has_any_number,number_detail_count,has_number_detail,experience_rich_review,rich_context_review,generic_praise_count,has_generic_praise,short_generic_review,ultra_short_praise,generic_without_detail,menu_only_praise,trendy_revisit_count,has_trendy_revisit_phrase,intensifier_count,intensifier_over_3,exclamation_count,exclamation_over_3,sns_event_count,has_sns_event,mixed_sentiment,account_review_count,account_review_count_is_1,account_review_count_over_10,account_review_count_over_50,low_information_review,high_trust_score_v6,low_trust_score_v6,trust_score_v6
event,43.478,0.54,0.21,0.576,0.432,0.092,0.156,0.836,0.44,0.204,0.242,0.2,0.202,0.176,0.022,0.052,0.138,0.1,0.018,0.072,0.066,0.052,0.256,0.02,0.852,0.714,0.326,0.05,0.3,0.104,0.06,0.06,0.574,0.03,1.242,0.186,0.024,0.02,0.108,103.788,0.006,0.878,0.308,0.298,4.222,3.452,0.77
normal,51.41,0.638,0.304,0.338,0.254,0.07,0.054,0.456,0.35,0.086,0.136,0.13,0.272,0.224,0.044,0.05,0.128,0.114,0.02,0.06,0.024,0.02,0.308,0.026,1.076,0.788,0.256,0.032,0.402,0.108,0.076,0.072,0.89,0.07,1.758,0.24,0.018,0.018,0.162,53.152,0.022,0.74,0.166,0.282,3.917,3.324,0.593
