계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
육룡이나르샤,2757,2025.10.22,1번째 방문,영수증,"벅벅 세트 : 11,000원. 대기가 있을 줄 알았는데 그런 거 없이 아주 편하게 먹었어요. 한입 먹으니까 맛있다는 생각이 절로 들더라고요. 번이나 패티나 다 부드럽고 피클맛이 튈 법한데도 그렇지 않고 뭐 하나 툭 튀는 거 없이 하나로 조화롭게 뭉쳐진 맛이었어요. 감튀도 바삭해서 좋았고요. 기대를 크게 안 해서 그런가 맛있게 잘 먹었어요. 주문은 키오스크로 하고 음료만 먼저 냉장고에서 셀프로 꺼내가면 됩니다. 번호판에 번호 뜨면 받으러 가는 방식이에요.",255,True
RIMLIM,47,2025.10.19,2번째 방문,영수증,결국 또 왔음…🥹 육향 가득..육즙 가득 버거.. 그냥 대체제가 없음 이거 먹는 순간 다른 버거는 먹을 수가 없음 감튀 마요네즈 찍어 먹으면 엄청 맛있음! 꼭 달라 하세요!!,97,True
jun****,347,2025.10.19,2번째 방문,영수증,벅벅싱글+베이컨추가 존맛,13,True
진심맛행,1262,2025.10.19,3번째 방문,예약,벅벅 햄버거 육즙 진심 살아 있네용! 육즙 팡팡ㅎ 맛은 그리워하는 것이라고 그리운맛 잘담아갑니당! 인정,57,True
nub****,661,2025.10.14,1번째 방문,영수증,맛,1,True
woo****,164,2025.10.12,1번째 방문,예약,더블벅 단품으로 시켰는데 맛있어요!! 입 안 가득 씹히는 다채로운 재료들의 맛이 좋아요 다만 엄청 기름져서 ㅋㅋ 감튀까지 먹음 좀 헤비할 것 같긴해요,83,True
callaJung,2971,2025.10.06,3번째 방문,영수증,수제버거 로또벅. 패티가 두껍고 포근포근해서 맛있어요.,30,True
랄라라라8898,1960,2025.10.06,1번째 방문,영수증,,0,True
타임님,464,2025.09.23,4번째 방문,예약,"그냥 버거가 아니라 벅벅이 땡기는 날이 있잖아요,, 그런 날에는 꼭 먹어줘야해요~~~ 언젠가 더블벅 진짜 도전해보고 싶어요🔥🔥",70,True
RIMLIM,47,2025.09.21,1번째 방문,영수증,개맛도리버거 파이브가이즈보다 더맛있음 고기 육향 좋아한다? 무조건 더블벅 먹어야 함 마요네즈 무조건 달라그래서 감튀 찍어드세요😉,71,True
제로스1412,1830,2025.09.04,1번째 방문,영수증,"ㅇ.ㅇ.ㅇ,ㅇ.ㅇ",9,True
응응응응33,307,2025.08.29,1번째 방문,영수증,수제버거 진짜 맛있ㄹ어요!! 감튀도 바로 튀겨서 따끔따끈 맛나요,35,True
딩굴딩굴00,77,2025.08.27,1번째 방문,영수증,맛있는데 응대 태도가 너무 별로예요 원래 안이랬는데 너무 기분나쁩니다,38,True
kan****,15,2025.08.26,1번째 방문,,유튜브 보고 찾아갔어요. 햄버거는 맛있었는데 안경 쓴 직원분?! 불친절 하네요. 다시는 안 갈 것 같아요,58,True
냥떡,130,2025.08.23,1번째 방문,영수증,굿,1,True
료가간다,656,2025.08.22,1번째 방문,영수증,너무 유명하고 맛난 벅벅 먹으로 왔어요,21,True
블랙보라,471,2025.08.21,1번째 방문,영수증,좋아요,3,True
Sirisirimasiri,313,2025.08.18,1번째 방문,영수증,벅벅 맛있네요~ 짜지 않아 좋았습니다. 고기패티가 많이 들어가서 만족스러웠구요 육즙가득하니 든든하다 못해 배터지는 식사였어요~ 기름이 많다는 것만 빼면 아주 굿! 감튀도 통통하니 맛있었슴다👍,106,True
당바닥,20,2025.08.15,1번째 방문,영수증,여기 사장님은 예술가에 가깝습니다. 미각적인 아름다움을 경험하고 싶으신 분은 이쪽으로 오세효. . . 🤤 리뷰 잘 안 남기는데 여긴 제가 더 드릴 수 있는 게 없어서 리뷰라도 바치는 느낌,104,True
루돌푸90,10,2025.08.14,1번째 방문,영수증,여러 지점에서 가끔 생각날때마다 먹습니다. 지점 직원인지 사장님인지 태도에 불만이 있어 리뷰남깁니다. 청소하시는 직원분들은 친절한 태도로 맞아주셨는데 카운터에 계산하시는 분은 쳐다보지도 않고 몸도 틀지 않은 상태+한손으로 노룩 전달을 하시네요. 매장 이전하기 전에는 응대하신 분이 친절하셨던걸로 기억하는데 기분이 상당히 좋지 않아 리뷰 남깁니다. 이런 태도는 바꾸세요. 이젠 가지 않을 것 같네요.,222,True
3rd 삶,19,2025.08.07,1번째 방문,영수증,대전에서 아내의 권유로 휴가에 가서 먹게 됨. 네비게이션 설정을 도보그로 안 바꿔서 계속 걸음. 근데 빵도 부드럽고 고기 진짜 예술임. 대전에도 생겼으면 좋겠다. ^^,93,True
jeonjjeon,290,2025.08.06,1번째 방문,영수증,고기랑 빵이 진짜 엄청 부드러워서 칼로 잘라서 깔끔하게 먹을 수 있어요 더블벅 케찹이랑 같이 먹으니까 맛있었어요~,63,True
함냐함냐함7,462,2025.08.02,1번째 방문,영수증,"벅벅이랑 해쉬벅 세트로 포장해왔는데 감자튀김 냄새가 너무 좋아서 집 오는 길 차 안에서 다 먹어버렸어요🍟개인 취향으로 제가 좋아하는 도톰한 감튀였고요 버거는 패티가 진짜 육즙 가득 촉촉하고 건강한(?) 고기 맛이 나요! 벅벅은 피클이, 해쉬벅은 할라피뇨가 들어갑니다 참고슨🍔",153,True
pur****,656,2025.07.29,1번째 방문,영수증,"로또햄버거 패티, 빵 모두 너무 맛있네요. 후렌치후라이, 핫윙도 깔끔하니 맛있어요.",46,True
룰루랄랄라뤠,20,2025.07.17,1번째 방문,영수증,장사의 신 보고 가보고 싶었던 벅벅!! 기대 이상으로 맛있었습니다! 패티가 너무 맛있어요👍👍👍,52,True
콩떡2742,36,2025.07.08,1번째 방문,영수증,세번째 방문!,7,True
tka****,43,2025.07.06,1번째 방문,예약,집근처였음 맨날감 ㄹㅇ,12,True
쌀밥도둑,7,2025.07.05,1번째 방문,예약,더블벅에 패티추가해서 먹었습니다. 저번에 타지점 그리고 본점에서 먹었는데 고기가 얇고 맛이 달라진거 같았는데 다시 맛있어졌네요 좋아요,74,True
참이슬1004,555,2025.06.30,1번째 방문,영수증,"평일 3시에 가니 웨이팅이 없었다. 패티를 씹는 순간 육즙이 많이 나왔고 매우 부드럽게 씹혔다. 그런데 패티에 간이 안되있는건지 약한건지 싱겁게 느껴졌다. 패티에 간만 조금 있었으면 더 맛있었을텐데 조금 아쉬웠다. 감자튀김도 간이 안되어 있는듯 하다. 윙봉은 케이준 맛이 살짝 남 ㅋㅋ 일반 시중에 파는것보다 간이 약함. 그래서인지 소금 후추가 따로 있다. 피클, 할라피뇨, 캐챂, 머스타드, (물)티슈등은 셀프다. 설명대로 비닐장갑끼고 먹어야 편하다 ^^ ps. 주차랑 화장실은 바로 옆에 공영주차장으로 가면됨",286,True
현짜장,48,2025.06.30,1번째 방문,영수증,먹었던 햄버거 중에 최곱니다. 다른 수제버거도 많이 먹었는데 벅벅만큼 맛있는 버거는 못 먹어봤어요. 혜화오면 꼭 오는 필수 코스 임다!,75,True
뽀글뽀글사자,1247,2025.06.28,1번째 방문,영수증,버거 맛잇어요!!,9,True
쿨재즈1,3372,2025.06.05,1번째 방문,영수증,평일 점심시간 25분 정도 기다린거 같아요. 웨이팅을 어찌 해야 하는 안내판이 있으면 좋겠어요. 패티 아이스크림처럼 부드럽고 알차요. 맛있어요.,80,True
min****,496,2025.06.01,1번째 방문,영수증,,0,True
callaJung,2971,2025.05.24,2번째 방문,영수증,벅벅 수제버거 맛있어요. 고기 잡내도 안나고 불형이 투머치도 아니고 야채가 들어간 버거가 더 맛있어요.,57,True
Stingray4,24,2025.05.21,1번째 방문,영수증,버거 좋아하는데 벅벅 안 먹어봤다 하면 둘 중 하나는 거짓말입니다.,37,True
black07927,,2025.05.19,1번째 방문,영수증,벅벅,2,True
맛있는게최고yum,107,2025.05.09,1번째 방문,예약,벅벅의 패티는 예술입니다. 초창기보다 가격은 올랐지만 그래도 이 가격에 이 퀄리티라면 훌륭합니다. 감자튀김도 두껍고 맛있습니다. 전 항상 더블패티로 먹는데 한 입 가득 육즙이 터질 때 행복감은 말로 표현하기 어렵네요. 강력추천!,127,True
cch****,16,2025.05.08,1번째 방문,영수증,알바생 응대가 아주 기분 나쁨 다음에 방문 생각 없네요.,31,True
MJKTW,642,2025.04.30,1번째 방문,영수증,워낙 sns나 여러 매체에서 소개가 되었고 주변 지인들도 맛있다고 해서 혜화동에 볼일있어 들렀다가 오게 되었습니다...! 마을버스 타고 들어오면 쉽게 찾을 수 있고 외국에서 오래있어서 다양한 버거를 먹어봤지만 이렇게 육즙이 잘 나오는 버거는 한국에서 처음 먹어보는것 같아요...! 더블벅 시키기 너무 잘한것 같습니다. 기회가 되면 다른 지점이나 혜화에서 또 오고 싶어요🔥,207,True
kis****,2383,2025.04.29,1번째 방문,영수증,..,2,True
청포도레몬,,2025.04.29,1번째 방문,영수증,,0,True
z1howq8,94,2025.04.25,2번째 방문,영수증,"더블벅 진짜 맛있어요. 수제버거 먹고 싶은데 안 건강한 맛 수제버거 땡길 때마다 벅벅 가요. 진짜,, 패티 육즙 장난 아니에요",70,True
아e스아메리카노,19,2025.04.25,1번째 방문,영수증,미친햄버거 존맛탱🍔🍟💕😋🎰🎉,15,True
mee****,7,2025.04.17,1번째 방문,예약,믿고가는 최고의 버거맛집입니다!!! 한입 먹자마자 미국에서 먹었던 수제버거가 생각날 정도로 정말 맛있어요 감자튀김도 양이 많아서 좋아요 더블벅에 베이컨 추가.. 꼭 해서 드세요!,99,True
주름마왕,155,2025.04.17,1번째 방문,영수증,"2025년 4월 17일 점심에 방문하여 더블벅 세트로 주문하였습니다. 야채가 거의 없는 꾸덕한 미국식 치즈버거 타입이며, 패티가 두툼하고 육즙도 꽤 있어 상당히 맛있었습니다. 하지만 먹다보면 전반적으로 조금 느끼해서, 개인적으로는 빵에 기름기를 줄여 조금 담백하고 채소가 들어가 있는 버거 메뉴가 추가되어도 좋을 것 같다는 생각이 들었습니다.",191,True
푸엣10,,2025.04.17,2번째 방문,영수증,,0,True
Nurmir,,2025.04.10,1번째 방문,영수증,,0,True
