term,count
EMO_POS 인테리어도 너무,2
인테리어도 너무 예쁘고,2
너무 예쁘고 직원분들도,2
예쁘고 직원분들도 친절하셔서,2
친절하셔서 다음에 회식으로,2
다음에 회식으로 오려구요,2
회식으로 오려구요 성수에서,2
오려구요 성수에서 잘하는,2
성수에서 잘하는 고깃집,2
잘하는 고깃집 찾기,2
고깃집 찾기 어려운데,2
찾기 어려운데 완전,2
친절하시고 고기도 구워주셔서,2
잡내없이 부드러운 식감의,2
부드러운 식감의 돼지갈비와,2
식감의 돼지갈비와 아삭하게,2
돼지갈비와 아삭하게 잘익은,2
아삭하게 잘익은 총각김치,2
잘익은 총각김치 까지,2
총각김치 까지 여러모로,2
까지 여러모로 장점이,2
여러모로 장점이 많은,2
장점이 많은 이름난,2
많은 이름난 식당인지라,2
이름난 식당인지라 돼지갈비,2
식당인지라 돼지갈비 1인분,2
돼지갈비 1인분 250g,2
1인분 250g 19,2
250g 19 000원,2
19 000원 이면,2
000원 이면 참숯을,2
이면 참숯을 사용해야,2
참숯을 사용해야 되는건,2
사용해야 되는건 아닐까,2
되는건 아닐까 하는,2
아닐까 하는 생각이다,2
하는 생각이다 since,2
생각이다 since 1979,2
본인 바쁘고 힘든,2
바쁘고 힘든 손님한테,2
힘든 손님한테 푸는,2
맛은 좋으나 가격이,2
가성비 최고입니다 EMO_POS,2
고기 질이 정말,2
정말 좋아서 한입,2
좋아서 한입 먹자마자,2
가격 대비 만족도,2
직원분들도 친절하고 맛있어요,2
맛있고 직원분들 너무,2
직원분들 너무 친절해서,2
찾기 좋은 곳입니다,2
직원분들도 친절하셔서 좋았어요,2
좋았어요 매장도 깔끔하고,2
맛있고 가성비가 좋아요,2
구워주셔서 편히 먹을,2
좋게 먹고 갑니다,2
직원 분들도 친절하셔서,2
직원분들도 친절하시고 좋아요,2
다시 방문하고 싶은,2
아이와 함께 방문하기에도,2
함께 방문하기에도 부담,2
직원분들이 정말 친절하시고,2
고기 퀄리티도 좋고,2
좋고 백김치 마늘,2
백김치 마늘 버섯,2
마늘 버섯 대파,2
버섯 대파 같이,2
위생적이기도 하고 모호한,2
하고 모호한 양이,2
모호한 양이 아닌,2
함께 제공되는 참치김치찌개도,2
고기가 너무 맛있어요,2
3시간 웨이팅 끝에,2
웨이팅 끝에 기대를,2
끝에 기대를 많이,2
많이 하고 들어갔는데,2
하고 들어갔는데 솔직히,2
들어갔는데 솔직히 국밥,2
솔직히 국밥 맛은,2
국밥 맛은 기대,2
맛은 기대 이하였습니다,2
기대 이하였습니다 개인적으로는,2
이하였습니다 개인적으로는 동네,2
개인적으로는 동네 프랜차이즈,2
동네 프랜차이즈 국밥집이,2
프랜차이즈 국밥집이 나은,2
국밥집이 나은 수준이라고,2
나은 수준이라고 느껴졌습니다,2
직원분들은 친절하다기보다는 약간,2
친절하다기보다는 약간 자기들만의,2
약간 자기들만의 분위기와,2
자기들만의 분위기와 컨셉에,2
분위기와 컨셉에 몰입해,2
컨셉에 몰입해 느낌이,2
몰입해 느낌이 강했고,2
느낌이 강했고 편하게,2
강했고 편하게 식사하기에는,2
편하게 식사하기에는 다소,2
식사하기에는 다소 거리감이,2
다소 거리감이 있었습니다,2
거리감이 있었습니다 요리,2
있었습니다 요리 프로그램에,2
요리 프로그램에 나왔다고,2
프로그램에 나왔다고 해서,2
