term,count
너무,409
EMO_POS,347
맛있어요,161
웨이팅,142
진짜,138
고기,137
정말,135
맛있게,124
직원분들도,102
맛있고,90
친절하시고,90
좋아요,88
먹고,86
좋고,84
바로,76
고기도,75
맛이,74
맛은,72
먹을,72
같이,68
없이,65
많이,62
양도,57
엄청,57
있어서,57
웨이팅이,56
많고,55
다시,55
좋은,54
직접,53
구워주셔서,52
고기가,52
깔끔하고,51
다른,50
좋았어요,49
조금,48
특히,46
맛있어서,45
재방문,45
맛집,44
친절하고,43
해서,43
먹는,43
음식,42
맛있었어요,41
다음에,41
계속,39
맛도,39
평일,39
좋아서,38
직원분들이,38
분위기,37
여기,37
정도,37
맛있는,37
음식이,36
주문,36
친절하셔서,36
기분,36
하고,36
분위기도,35
부드럽고,35
먹었는데,35
않고,35
양이,34
그래도,34
직원분들,33
나와서,33
서비스,32
대기,32
처음,32
항상,32
완전,31
맛있습니다,31
함께,31
고기는,31
좋았습니다,30
방문했는데,30
맛있었습니다,30
성수,30
오랜만에,29
저는,29
빨리,29
음식도,28
친절해요,28
이런,28
방문,28
국물이,28
금방,27
의사,27
없고,27
보쌈,27
편하게,27
아주,26
고기를,26
구워주시고,26
살짝,26
많은,26
손님이,26
매우,25
직원분이,25
많아서,25
친절하게,25
아니라,25
추천,25
사장님,25
같습니다,24
직원,24
친절하세요,24
먹기,24
친절해서,24
좋습니다,24
있었어요,23
그런지,23
먹으면,23
매장,23
갔는데,23
유명한,23
먹으러,23
주문했는데,23
있어,23
했는데,23
감자탕,23
하는,23
왔는데,23
맛있었고,22
모두,22
간이,22
맛있네요,22
와서,22
기분이,22
것도,22
같은,22
다만,22
일단,21
가서,21
갑니다,21
매장도,21
좋게,21
칼국수는,21
있는데,21
다들,21
나오는,21
가게,21
직원이,21
미나리,21
않은,21
삼겹살,20
먼저,20
생각보다,20
제대로,20
이렇게,20
있었습니다,20
자주,20
거의,20
추천합니다,19
덕분에,19
메뉴,19
맛있음,19
웨이팅은,19
전에,19
저녁,19
싶은,19
매장이,19
자극적이지,19
굳이,19
점심,18
무조건,18
있음,18
그렇게,18
있고,18
칼국수,18
깔끔한,18
음식은,18
가성비,18
원래,18
다음에도,18
성수동,18
친구랑,18
고기랑,18
대기가,18
분위기가,18
외국인,18
자리,17
메뉴도,17
홍대,17
방문했어요,17
저녁에,17
오면,17
않아서,17
예약,17
닭갈비,17
사장님이,17
시켰는데,17
반찬도,17
국물,17
식당,17
먹은,16
있지만,16
오늘,16
리뷰,16
좋았고,16
하나,16
사람이,16
없어서,16
줄이,15
시간,15
테이블,15
넓고,15
맛이에요,15
무엇보다,15
곰탕,15
식사할,15
요즘,15
역시,15
주말,15
올게요,15
없음,15
사람,15
제가,15
식사,15
들어갔어요,15
잡내,15
있었고,15
전체적으로,15
친절하십니다,14
김치는,14
육회비빔밥,14
제일,14
성수에서,14
하나하나,14
싶어요,14
여기는,14
반찬,14
느낌,14
미리,14
근처,14
나온,14
김치,14
맛을,14
김치도,14
여전히,14
방문하고,14
편하고,14
때문에,14
크게,14
추가,14
한번,14
친구,14
맛있어용,14
나오고,14
생각이,14
보니,13
이유가,13
데이트,13
직원분도,13
굉장히,13
기본,13
곳이라,13
적당히,13
아니고,13
전부,13
국밥,13
특별한,13
국물에,13
손님,13
약간,13
빠르게,13
캐치테이블,13
먹으니,13
앞에,13
곳인데,13
아님,13
오늘은,13
수도,12
확실히,12
입장,12
보쌈정식,12
예약하고,12
만족스러웠어요,12
장소로,12
곱창,12
됩니다,12
보쌈은,12
맛나요,12
사람들이,12
때마다,12
아닌,12
밥이,12
메뉴가,12
주셔서,12
양은,12
않을,12
솔직히,12
종종,12
서울,12
좋을,12
왔어요,12
좋네요,12
국물은,12
