term,count
맛있었어요 EMO_POS 라볶이는,2
EMO_POS 라볶이는 매콤달콤해서,2
라볶이는 매콤달콤해서 술이랑,2
매콤달콤해서 술이랑 어울렸고,2
술이랑 어울렸고 김치전은,2
어울렸고 김치전은 바삭하면서,2
김치전은 바삭하면서 김치,2
바삭하면서 김치 맛이,2
김치 맛이 살아있어서,2
맛이 살아있어서 계속,2
살아있어서 계속 손이,2
계속 손이 친구랑,2
손이 친구랑 편하게,2
친구랑 편하게 한잔하면서,2
편하게 한잔하면서 맛있는,2
한잔하면서 맛있는 안주,2
맛있는 안주 먹기,2
안주 먹기 좋은,2
먹기 좋은 곳이라,2
좋은 곳이라 다음에,2
곳이라 다음에 EMO_POS,2
너무 좋아요 홍대,2
너무 좋아요 다음에,2
구워주셔서 편하게 식사할,2
재방문 의사 EMO_POS,2
음식도 맛있고 서비스도,2
직원분들도 친절하시고 분위기도,2
친절하시고 분위기도 좋아서,2
친구들이랑 왔는데 분위기도,2
새로운 술들이 있어서,2
엄청 시끄럽지도 않고,2
가게 내부도 깔끔하고,2
친절하시고 분위기도 좋아요,2
매장도 너무 청결하고,2
음식이 맛있고 분위기가,2
넓고 쾌적하고 고기도,2
좋고 분위기도 좋아서,2
편하게 식사할 있었어요,2
너무 맛있습니다 직원분들도,2
홍대에서 분위기 좋은,2
분위기 좋은 술집,2
좋은 술집 찾다가,2
양도 많고 맛도,2
다음에 오고 싶은,2
분위기도 좋아서 데이트,2
왔는데 분위기도 너무,2
직원분들도 친절하게 응대해주셔서,2
친절하게 응대해주셔서 기분,2
응대해주셔서 기분 좋게,2
부모님 모시고 와도,2
가게 인테리어도 너무,2
직접 구워주셔서 너무,2
구워주셔서 너무 편하고,2
너무 친절하고 매장도,2
좋고 음식도 맛있었습니다,2
좋았어요 직원분들도 친절하시고,2
매장 분위기도 깔끔해서,2
멋져요 EMO_POS EMO_POS,2
매장도 넓고 음식도,2
직원분들도 친절하시고 매장도,2
기분 좋게 식사했습니다,2
들어왔는데 분위기도 좋고,2
좋고 음식도 맛있습니다,2
고기도 많이 들어있고,2
워낙 유명한 곳이라,2
의사 있음 EMO_POS,2
맛있고 분위기가 너무,2
분위기 좋고 맛있어요,2
하러 오기 좋은,2
고기도 너무 맛있었어요,2
주말 이른 저녁에,2
이른 저녁에 아이와,2
저녁에 아이와 함께,2
아이와 함께 방문한,2
함께 방문한 뼈탄집,2
방문한 뼈탄집 성수역점,2
뼈탄집 성수역점 이른,2
성수역점 이른 시간이라,2
이른 시간이라 그런지,2
시간이라 그런지 웨이팅,2
웨이팅 없이 비교적,2
없이 비교적 여유롭게,2
비교적 여유롭게 들어갈,2
여유롭게 들어갈 있었고,2
들어갈 있었고 매장도,2
있었고 매장도 전반적으로,2
매장도 전반적으로 깔끔한,2
전반적으로 깔끔한 느낌이었습니다,2
깔끔한 느낌이었습니다 아이와,2
느낌이었습니다 아이와 함께,2
아이와 함께 방문하다,2
함께 방문하다 보니,2
방문하다 보니 좌석,2
보니 좌석 간격이나,2
좌석 간격이나 분위기를,2
간격이나 분위기를 조금,2
