platform,store_name,account_id,account_review_count,visit_date,visit_count,verification_method,review_text,review_length,has_photo,rating,account_avg_rating,reviewer_level,review_original,review_sentiment,has_emo_pos,has_emo_neg,has_laugh,has_cry,has_exclamation,has_question,has_number,original_char_len,서비스_matched_keywords
naver,이태리국시 성수,먹는 행복V,407.0,2026.03.13,1번째 방문,영수증,"특별한 날 어디에서 식사를 할까 찾아보다가 독특한 콘셉트의 음식점 같아서 방문했어요. '바지락찜 파스타'와 '숯불갈비 리소토' 주문했는데요. 이태리 음식이지만, 퓨전 느낌의 한국적인 맛과 차분한 인테리어가 잘 어우러졌습니다. 저녁에 오니 약간은 어두운 조명이 분위기 있더라고요. 🤭 만족스러운 식사였습니다. 🤗",173,True,,,,"특별한 날 어디에서 식사를 할까 찾아보다가 독특한 콘셉트의 음식점 같아서 방문했어요. '바지락찜 파스타'와 '숯불갈비 리소토' 주문했는데요. 이태리 음식이지만, 퓨전 느낌의 한국적인 맛과 차분한 인테리어가 잘 어우러졌습니다. 저녁에 오니 약간은 어두운 조명이 분위기 있더라고요. 🤭 만족스러운 식사였습니다. 🤗",특별한 날 어디에서 식사를 할까 찾아보다가 독특한 콘셉트의 음식점 같아서 방문했어요 바지락찜 파스타 와 숯불갈비 리소토 주문했는데요 이태리 음식이지만 퓨전 느낌의 한국적인 맛과 차분한 인테리어가 잘 어우러졌습니다 저녁에 오니 약간은 어두운 조명이 분위기 있더라고요 만족스러운 식사였습니다,0,0,0,0,0,0,0,173,주문
naver,소문난성수감자탕,젤라니이,1643.0,2026.01.10,1번째 방문,영수증,11시반에 갔더니 대기가 길지 않았어요. 잡내없이 맛있었고 볶음밥 거의 다 먹은 거 보고 이모님이 자리 치워도 되냐고 하셔서 서둘러 나와 보니 대기줄이 길었어요.,90,True,,,,11시반에 갔더니 대기가 길지 않았어요. 잡내없이 맛있었고 볶음밥 거의 다 먹은 거 보고 이모님이 자리 치워도 되냐고 하셔서 서둘러 나와 보니 대기줄이 길었어요.,11시반에 갔더니 대기가 길지 않았어요 잡내없이 맛있었고 볶음밥 거의 다 먹은 거 보고 이모님이 자리 치워도 되냐고 하셔서 서둘러 나와 보니 대기줄이 길었어요,0,0,0,0,0,0,1,90,대기
naver,할머니의 레시피,유리하늘37,937.0,2025.04.11,1번째 방문,영수증,점심특선으로 먹었는데 정갈하고 맛있어요.가격도 착하고 친절해요.,35,True,,,,점심특선으로 먹었는데 정갈하고 맛있어요.가격도 착하고 친절해요.,점심특선으로 먹었는데 정갈하고 맛있어요 가격도 착하고 친절해요,0,0,0,0,0,0,0,35,친절
naver,락희옥 마포본점,오호2881,4.0,2025.10.31,1번째 방문,영수증,음식이 맛있고 직원이 친절합니다. 모임 장소로 추천!,29,False,,,,음식이 맛있고 직원이 친절합니다. 모임 장소로 추천!,음식이 맛있고 직원이 친절합니다 모임 장소로 추천 EXCLAM,0,0,0,0,1,0,0,29,"친절, 직원"
kakao,금금,철준,157.0,2026-04-06,,,"된장어쩌구 메뉴에 홀려서 들어갔으나, 맛 서비스 다 최저. 무슨 반찬인지 모르는 그건 맛있었다.",53,False,1.0,4.2,골드 레벨,"된장어쩌구 메뉴에 홀려서 들어갔으나, 맛 서비스 다 최저. 무슨 반찬인지 모르는 그건 맛있었다.",된장어쩌구 메뉴에 홀려서 들어갔으나 맛 서비스 다 최저 무슨 반찬인지 모르는 그건 맛있었다,0,0,0,0,0,0,0,53,서비스
naver,각시보쌈,모나카아스크림,974.0,2026.04.21,1번째 방문,영수증,"브레이크 타임 끝나고 들어갔어요. 각시 정식. 항정살 수육과 두부와 참치가 들어간 김치찌개까지 나와서 배부른 한상 입니다. 상추 추가시 2,000원인데 고기와 상추 갯수가 같으니까 추가 주문할 일은 없을듯- 5시 이후엔 1인 정식 주문이 안될수 있으니 참고하세요.",147,True,,,,"브레이크 타임 끝나고 들어갔어요. 각시 정식. 항정살 수육과 두부와 참치가 들어간 김치찌개까지 나와서 배부른 한상 입니다. 상추 추가시 2,000원인데 고기와 상추 갯수가 같으니까 추가 주문할 일은 없을듯- 5시 이후엔 1인 정식 주문이 안될수 있으니 참고하세요.",브레이크 타임 끝나고 들어갔어요 각시 정식 항정살 수육과 두부와 참치가 들어간 김치찌개까지 나와서 배부른 한상 입니다 상추 추가시 2 000원인데 고기와 상추 갯수가 같으니까 추가 주문할 일은 없을듯 5시 이후엔 1인 정식 주문이 안될수 있으니 참고하세요,0,0,0,0,0,0,1,147,주문
naver,소문난성수감자탕,david7064,83.0,2025.12.06,1번째 방문,영수증,여기는 갈 때마다 정신이 없고 손님을 물건으로 보는 느낌임 . 아줌마들은 친절했으나 고기가 살이 하나도 없고 다. 뼈뿐임 1만3000원짜리 특을 시켰는데도 뼈가 4ㅡ 5개가 왔는데도 살이 하나도 없었음 그리고 일반적인 등뼈 해장국이 아니고 이상한 내장 같은 부위가 있어서 약간 곱창 맛이 나는데 역겨웠음 다신 안가고 싶음 배가 부르지도 않고 기분 나쁘게 배가 부름.,204,False,,,,여기는 갈 때마다 정신이 없고 손님을 물건으로 보는 느낌임 . 아줌마들은 친절했으나 고기가 살이 하나도 없고 다. 뼈뿐임 1만3000원짜리 특을 시켰는데도 뼈가 4ㅡ 5개가 왔는데도 살이 하나도 없었음 그리고 일반적인 등뼈 해장국이 아니고 이상한 내장 같은 부위가 있어서 약간 곱창 맛이 나는데 역겨웠음 다신 안가고 싶음 배가 부르지도 않고 기분 나쁘게 배가 부름.,여기는 갈 때마다 정신이 없고 손님을 물건으로 보는 느낌임 아줌마들은 친절했으나 고기가 살이 하나도 없고 다 뼈뿐임 1만3000원짜리 특을 시켰는데도 뼈가 4 5개가 왔는데도 살이 하나도 없었음 그리고 일반적인 등뼈 해장국이 아니고 이상한 내장 같은 부위가 있어서 약간 곱창 맛이 나는데 역겨웠음 다신 안가고 싶음 배가 부르지도 않고 기분 나쁘게 배가 부름,0,0,0,0,0,0,1,204,친절
naver,일등식당,둥둥찌둥,93.0,2025.06.28,1번째 방문,영수증,맑은 국물인데 그렇지 않은 깊은맛 ..! 아침부터 소주를 부르는 맛입니다. 김치도 맛있지만 깍두기가 좀 더 입에 맞았어요. 팔팔 끓어서 나오면 좋겠단 생각이 들어요. 금방 식어요 .. 오리지날 국물맛을 즐긴다음에 반정도 먹었을때 고춧가루랑 후추 넣어서 먹으니 또 다른 맛이에요 !! 고춧가루가 좀 매우니 적당히 맛 보면서 넣으세요 ! 후추맛 안좋아하는데 고춧가루+후추조합이 더 술을 부르는 자극적인 맛입니다. 웨이팅은 없었어요. 먹텐 짱 ㅠㅠ,247,True,,,,맑은 국물인데 그렇지 않은 깊은맛 ..! 아침부터 소주를 부르는 맛입니다. 김치도 맛있지만 깍두기가 좀 더 입에 맞았어요. 팔팔 끓어서 나오면 좋겠단 생각이 들어요. 금방 식어요 .. 오리지날 국물맛을 즐긴다음에 반정도 먹었을때 고춧가루랑 후추 넣어서 먹으니 또 다른 맛이에요 !! 고춧가루가 좀 매우니 적당히 맛 보면서 넣으세요 ! 후추맛 안좋아하는데 고춧가루+후추조합이 더 술을 부르는 자극적인 맛입니다. 웨이팅은 없었어요. 먹텐 짱 ㅠㅠ,맑은 국물인데 그렇지 않은 깊은맛 EXCLAM 아침부터 소주를 부르는 맛입니다 김치도 맛있지만 깍두기가 좀 더 입에 맞았어요 팔팔 끓어서 나오면 좋겠단 생각이 들어요 금방 식어요 오리지날 국물맛을 즐긴다음에 반정도 먹었을때 고춧가루랑 후추 넣어서 먹으니 또 다른 맛이에요 EXCLAM 고춧가루가 좀 매우니 적당히 맛 보면서 넣으세요 EXCLAM 후추맛 안좋아하는데 고춧가루 후추조합이 더 술을 부르는 자극적인 맛입니다 웨이팅은 없었어요 먹텐 짱,0,0,0,1,1,0,0,247,웨이팅
kakao,소문난성수감자탕,객관적시선,104.0,2025-11-08,,,최악의 악. 한가한 시간에 가도 손님 아는척도 안하다가 주문 안하냐고 화냄. 외국인관광객들 많던데 내가 다 부끄러울 정도의 위생과 맛. 위치빨,79,False,1.0,2.3,실버 레벨,최악의 악. 한가한 시간에 가도 손님 아는척도 안하다가 주문 안하냐고 화냄. 외국인관광객들 많던데 내가 다 부끄러울 정도의 위생과 맛. 위치빨,최악의 악 한가한 시간에 가도 손님 아는척도 안하다가 주문 안하냐고 화냄 외국인관광객들 많던데 내가 다 부끄러울 정도의 위생과 맛 위치빨,0,0,0,0,0,0,0,79,주문
naver,육산장 홍대본점,융3118,34.0,2026.04.14,1번째 방문,영수증,야외 버너에서 구워먹는거구 지금 같은 날씨 좋은 날 오기 너무 좋아요!! 주문할때 메뉴마다 술 종류 하나씩 추가해놓은 것도 뭔가 웃겼어요🤣🤣 고기가 초벌해서 나와서 편하고 맛있게 잘 먹었습니다🫶🏻🔥🔥,111,True,,,,야외 버너에서 구워먹는거구 지금 같은 날씨 좋은 날 오기 너무 좋아요!! 주문할때 메뉴마다 술 종류 하나씩 추가해놓은 것도 뭔가 웃겼어요🤣🤣 고기가 초벌해서 나와서 편하고 맛있게 잘 먹었습니다🫶🏻🔥🔥,야외 버너에서 구워먹는거구 지금 같은 날씨 좋은 날 오기 너무 좋아요 EXCLAM 주문할때 메뉴마다 술 종류 하나씩 추가해놓은 것도 뭔가 웃겼어요 EMO_LAUGH EMO_LAUGH 고기가 초벌해서 나와서 편하고 맛있게 잘 먹었습니다 EMO_POS EMO_POS,1,0,1,0,1,0,0,111,주문
naver,육산장 홍대본점,kah****,3.0,2026.02.26,1번째 방문,영수증,맛 짱! 친절 짱! 분위기 짱짱짱! 흠잡을 데 없이 맛있는 음식과 멋진 인테리어 덕준이 친구와의 우정이 한결 더 업업업~,67,True,,,,맛 짱! 친절 짱! 분위기 짱짱짱! 흠잡을 데 없이 맛있는 음식과 멋진 인테리어 덕준이 친구와의 우정이 한결 더 업업업~,맛 짱 EXCLAM 친절 짱 EXCLAM 분위기 짱짱 EXCLAM 흠잡을 데 없이 맛있는 음식과 멋진 인테리어 덕준이 친구와의 우정이 한결 더 업업,0,0,0,0,1,0,0,67,친절
naver,보끔당 성수점,mayqueenjhw,571.0,2026.02.14,1번째 방문,영수증,"토마토미트 주문했습니다. 매콤한 토마토 소스에 순살 닭고기, 미트볼, 스파게티면, 소시지, 올리브, 치즈 등이 들어 있어요. 매콤해서 느끼하지 않아요. 양도 꽤 되고요. 직원분들도 친절하십니다.",108,True,,,,"토마토미트 주문했습니다. 매콤한 토마토 소스에 순살 닭고기, 미트볼, 스파게티면, 소시지, 올리브, 치즈 등이 들어 있어요. 매콤해서 느끼하지 않아요. 양도 꽤 되고요. 직원분들도 친절하십니다.",토마토미트 주문했습니다 매콤한 토마토 소스에 순살 닭고기 미트볼 스파게티면 소시지 올리브 치즈 등이 들어 있어요 매콤해서 느끼하지 않아요 양도 꽤 되고요 직원분들도 친절하십니다,0,0,0,0,0,0,0,108,"친절, 직원, 주문"
naver,능동미나리 성수지점,아이엠뚜뚜,181.0,2025.12.11,1번째 방문,영수증,성수 ‘능동미나리’ 쪼금 아쉬웠던 능동미나리 다른메뉴를 먹어봐야겠지먼 우선 제가 먹어본 육회미나리비빔밥은 약이 너무 적어요...대기 없이 먹은건 너무좋지만... 미나리 60%+밥 20%+육회 20% 느낌이에요 가격대비 아쉽기도 하고 근데 맛이 없눈 조합은 아니라 맛은 있는데 석박지도 맛있눈데 배가 안불러요..,173,True,,,,성수 ‘능동미나리’ 쪼금 아쉬웠던 능동미나리 다른메뉴를 먹어봐야겠지먼 우선 제가 먹어본 육회미나리비빔밥은 약이 너무 적어요...대기 없이 먹은건 너무좋지만... 미나리 60%+밥 20%+육회 20% 느낌이에요 가격대비 아쉽기도 하고 근데 맛이 없눈 조합은 아니라 맛은 있는데 석박지도 맛있눈데 배가 안불러요..,성수 능동미나리 쪼금 아쉬웠던 능동미나리 다른메뉴를 먹어봐야겠지먼 우선 제가 먹어본 육회미나리비빔밥은 약이 너무 적어요 대기 없이 먹은건 너무좋지만 미나리 60 밥 20 육회 20 느낌이에요 가격대비 아쉽기도 하고 근데 맛이 없눈 조합은 아니라 맛은 있는데 석박지도 맛있눈데 배가 안불러요,0,0,0,0,0,0,1,173,대기
naver,옥동식,겨울눈이펑펑,400.0,2025.04.26,1번째 방문,영수증,캐치테이블 예약하고 방문했고 좌석이 많지 않다보니 생각보다 대기시간 더 걸린다 생각하는게 좋을 것 같아요! 국밥 보통이랑 만두 주문했고 국밥 첫맛은 응? 으응? 할 정도로 슴슴하고 단맛은 1도 없어요! 담백 건강함 그자체! 국밥의 고기가 엄청 부드러워 좋았고 양념장 역시 짭짤함만 더해 줍니다. 국밥계의 평냉 느낌!!! 만두는 건강한 김치만두맛! 맛있어요! 개인적으로는 후추를 살짝 뿌린다면 더 맛있게 먹었을 것 같아요!,235,True,,,,캐치테이블 예약하고 방문했고 좌석이 많지 않다보니 생각보다 대기시간 더 걸린다 생각하는게 좋을 것 같아요! 국밥 보통이랑 만두 주문했고 국밥 첫맛은 응? 으응? 할 정도로 슴슴하고 단맛은 1도 없어요! 담백 건강함 그자체! 국밥의 고기가 엄청 부드러워 좋았고 양념장 역시 짭짤함만 더해 줍니다. 국밥계의 평냉 느낌!!! 만두는 건강한 김치만두맛! 맛있어요! 개인적으로는 후추를 살짝 뿌린다면 더 맛있게 먹었을 것 같아요!,캐치테이블 예약하고 방문했고 좌석이 많지 않다보니 생각보다 대기시간 더 걸린다 생각하는게 좋을 것 같아요 EXCLAM 국밥 보통이랑 만두 주문했고 국밥 첫맛은 응 QUESTION 으응 QUESTION 할 정도로 슴슴하고 단맛은 1도 없어요 EXCLAM 담백 건강함 그자체 EXCLAM 국밥의 고기가 엄청 부드러워 좋았고 양념장 역시 짭짤함만 더해 줍니다 국밥계의 평냉 느낌 EXCLAM 만두는 건강한 김치만두맛 EXCLAM 맛있어요 EXCLAM 개인적으로는 후추를 살짝 뿌린다면 더 맛있게 먹었을 것 같아요 EXCLAM,0,0,0,0,1,1,1,235,"주문, 대기, 예약"
naver,홍대 육지,mrs****,8.0,2026.04.28,1번째 방문,영수증,친절한 서비스에 일단 감동으로 시작... 쾌적한 공간에 잔잔한 bgm.. 돈대갈비 👍 .. 모든 🐖 🐷 👍👍👍 호강하는 하루였어요.^^,75,True,,,,친절한 서비스에 일단 감동으로 시작... 쾌적한 공간에 잔잔한 bgm.. 돈대갈비 👍 .. 모든 🐖 🐷 👍👍👍 호강하는 하루였어요.^^,친절한 서비스에 일단 감동으로 시작 쾌적한 공간에 잔잔한 bgm 돈대갈비 EMO_POS 모든 EMO_POS EMO_POS EMO_POS 호강하는 하루였어요,1,0,0,0,0,0,0,75,"서비스, 친절"
