platform,review_count,final_sentiment_mean,trust_adjusted_sentiment_mean,knu_sentiment_mean,custom_sentiment_mean,knu_matched_total,custom_matched_total,removed_overlap_total,food_score_mean,price_score_mean,service_score_mean,atmosphere_score_mean,trust_weight_mean,final_score_w03_mean,final_score_w05_mean,final_score_w10_mean
kakao,2706,0.4606808994006177,0.4606808994006177,0.2478664424032338,0.4256289139947676,4830,3651,4073,0.6602270967514869,0.008869179600886918,0.12528024143877803,0.1366808327174181,1.0,0.37555511660166413,0.4606808994006177,0.6734953563980014
naver,4175,0.6922740150798294,0.6922740150798294,0.4117602788493267,0.5610274724610054,7931,7620,7583,0.82486501283148,0.01562874251497006,0.16314171656686627,0.22179010550327916,1.0,0.5800685205876284,0.6922740150798294,0.9727877513103321
