dataset,accuracy,precision_real_1,recall_real_1,f1_real_1,precision_fake_0,recall_fake_0,f1_fake_0,wrong_cases,total,tn_fake_correct,fp_fake_to_real,fn_real_to_fake,tp_real_correct
TRAIN,0.7191235059760956,0.6812386156648452,0.7775467775467776,0.7262135922330097,0.7648351648351648,0.6653919694072657,0.7116564417177914,564,2008,696,350,214,748
TEST,0.7529880478087649,0.7158671586715867,0.8049792531120332,0.7578125,0.7965367965367965,0.7049808429118773,0.7479674796747967,124,502,184,77,47,194
