manual_label,review_length,account_review_count,visit_count,has_photo,rating,account_avg_rating,has_generic_praise,generic_count,strong_generic_praise,generic_without_detail,short_generic_review,low_information_review,has_number_detail,number_detail_count,first_visit,revisit,account_review_count_is_1,account_review_count_under_5,account_review_count_under_10,account_review_count_over_50,account_review_count_over_100,has_menu,menu_count,category_count,has_detailed_negative,specific_review
0,38.851,286.018,1.735,0.743,4.269,4.191,0.756,1.223,0.325,0.179,0.318,0.224,0.041,0.055,0.418,0.081,0.145,0.236,0.285,0.412,0.315,0.345,0.573,0.614,0.203,0.527
1,138.741,237.395,1.271,0.671,3.07,3.65,0.714,1.46,0.41,0.017,0.012,0.014,0.186,0.309,0.375,0.046,0.078,0.18,0.244,0.476,0.353,0.734,2.486,1.285,0.53,0.896
