feature,importance
review_length,0.3620519127298339
menu_count,0.0811623439127357
account_review_count,0.07222837549088364
reason_count,0.07222716712563043
short_generic_review,0.050065598993969646
account_avg_rating,0.044777719631422915
specific_review,0.038516157625251374
rating,0.035649686529388075
category_count,0.03447931999125351
generic_count,0.028166658760212387
has_detailed_negative,0.02534739090745283
intensifier_count,0.023533526473407573
low_information_review,0.01465986123968606
has_photo,0.014152961256231649
visit_count,0.012910194089214703
strong_generic_praise,0.01106651540469553
account_review_count_over_50,0.009644147183653088
account_review_count_over_100,0.009169117381243298
number_detail_count,0.00884088499846159
has_generic_praise,0.00877382499998584
account_review_count_under_10,0.0077727703471693905
first_visit,0.00716580957148321
generic_without_detail,0.0066115423773260565
has_number_detail,0.006416082917438994
account_review_count_under_5,0.0055171394268448285
account_review_count_is_1,0.004652146330141722
revisit,0.0028036128630003544
event_word_count,0.001637531441981779
