platform,store_name,account_id,account_review_count,visit_date,visit_count,verification_method,review_text,review_length,has_photo,rating,account_avg_rating,reviewer_level,review_original,review_sentiment,has_emo_pos,has_emo_neg,has_laugh,has_cry,has_exclamation,has_question,has_number,original_char_len,분위기_matched_keywords
kakao,옥동식 서교점,유성호,127.0,2025-02-05,,,2023년 연말 태평양 건너 미국 땅에서 낭보가 들렸다. 뉴욕타임스(NYT) ‘올해 뉴욕 최고의 요리 8선’ 중 하나로 뉴욕 코리아타운에 있는 한인 국밥집의 돼지곰탕 식당 ‘옥동식’이 선정된 것이다. NYT는 지난해 섣달 13일(현지 시간) 뉴욕 지역 레스토랑 대표 메뉴 중 최고 요리 8선에 ‘옥동식’을 포함시켰다. ‘옥동식’은 2016년 서울 마포구 합정역 인근 한 골목에서 문을 열었다. 개업 초기부터 골목에 대기 줄이 길게 늘어섰다. 맛집 소문도 있고 10석밖에 되지 않은 자리 때문이다. 테이블이 따로 있지 않고 바 형태다. 그만큼 매장 규모가 작다. 그런데도 미국의 경제 중심부이자 미식의 도시 뉴욕의 뉴요커들에게 인정받은 것이다. NYT는 ‘옥동식’ 돼지곰탕을 “매일 먹어도 질리지 않을 국물”이라고 평했다. 그러면서 “특별한 날에 먹으면 더 좋을 것”이라고 덧붙였다. 해석하기 나름이겠지만 매우 특별한 음식이란 의미에 무게가 실린다. ‘옥동식’의 성과는 2022년 11월 맨해튼에 매장을 낸 지 1년 만의 쾌거다. ‘옥동식’ 서교점은 2018년 미쉐린가이드 빕구르망에 선정되면서부터 매년 명성을 이어 가고 있다. 미쉐린가이드는 “돼지국밥에 대한 선입견을 완전히 뒤엎어 버린 이곳의 돼지국밥 또는 돼지곰탕은 지리산 버크셔 K-흑돼지의 앞다리와 뒷다릿살만을 고아 육수가 유난히 맑은 것이 특징”이라며 “한소끔 김을 뺀 밥과 80%만 익혀 얇게 썬 고기를 방짜유기에 담은 후 뜨거운 육수를 부으면 고기는 마저 익고 육수는 더 깊게 우러나 담백하면서도 진한 감칠맛을 낸다”고 선정 이유를 설명했다. 미쉐린가이드는 돼지국밥과 돼지곰탕을 혼용하고 있는데 이는 곰탕과 국밥의 메뉴 분류 때문이다. 옥동식은 “곰탕이 국밥에 속해 있기에 돼지국밥이 아닌 돼지곰탕으로 시작을 했고 새로 생겨난 많은 곳에서 돼지국밥이 아닌 돼지곰탕으로 명명해 판매하고 있다”고 부연했다. ‘옥동식’이 있는 서교동부터 연남동·망원동 등 홍대 상권을 중심으로 작은 식당들 개업이 붐을 이루고 있다. 큰 식당을 개업하려면 초기 투자비와 인건비가 많이 들기 때문에 최근에는 1~2인 정도가 운영 가능한 ‘작은 식당’ 개업이 느는 추세다.,1068,True,5.0,5.0,골드 레벨,2023년 연말 태평양 건너 미국 땅에서 낭보가 들렸다. 뉴욕타임스(NYT) ‘올해 뉴욕 최고의 요리 8선’ 중 하나로 뉴욕 코리아타운에 있는 한인 국밥집의 돼지곰탕 식당 ‘옥동식’이 선정된 것이다. NYT는 지난해 섣달 13일(현지 시간) 뉴욕 지역 레스토랑 대표 메뉴 중 최고 요리 8선에 ‘옥동식’을 포함시켰다. ‘옥동식’은 2016년 서울 마포구 합정역 인근 한 골목에서 문을 열었다. 개업 초기부터 골목에 대기 줄이 길게 늘어섰다. 맛집 소문도 있고 10석밖에 되지 않은 자리 때문이다. 테이블이 따로 있지 않고 바 형태다. 그만큼 매장 규모가 작다. 그런데도 미국의 경제 중심부이자 미식의 도시 뉴욕의 뉴요커들에게 인정받은 것이다. NYT는 ‘옥동식’ 돼지곰탕을 “매일 먹어도 질리지 않을 국물”이라고 평했다. 그러면서 “특별한 날에 먹으면 더 좋을 것”이라고 덧붙였다. 해석하기 나름이겠지만 매우 특별한 음식이란 의미에 무게가 실린다. ‘옥동식’의 성과는 2022년 11월 맨해튼에 매장을 낸 지 1년 만의 쾌거다. ‘옥동식’ 서교점은 2018년 미쉐린가이드 빕구르망에 선정되면서부터 매년 명성을 이어 가고 있다. 미쉐린가이드는 “돼지국밥에 대한 선입견을 완전히 뒤엎어 버린 이곳의 돼지국밥 또는 돼지곰탕은 지리산 버크셔 K-흑돼지의 앞다리와 뒷다릿살만을 고아 육수가 유난히 맑은 것이 특징”이라며 “한소끔 김을 뺀 밥과 80%만 익혀 얇게 썬 고기를 방짜유기에 담은 후 뜨거운 육수를 부으면 고기는 마저 익고 육수는 더 깊게 우러나 담백하면서도 진한 감칠맛을 낸다”고 선정 이유를 설명했다. 미쉐린가이드는 돼지국밥과 돼지곰탕을 혼용하고 있는데 이는 곰탕과 국밥의 메뉴 분류 때문이다. 옥동식은 “곰탕이 국밥에 속해 있기에 돼지국밥이 아닌 돼지곰탕으로 시작을 했고 새로 생겨난 많은 곳에서 돼지국밥이 아닌 돼지곰탕으로 명명해 판매하고 있다”고 부연했다. ‘옥동식’이 있는 서교동부터 연남동·망원동 등 홍대 상권을 중심으로 작은 식당들 개업이 붐을 이루고 있다. 큰 식당을 개업하려면 초기 투자비와 인건비가 많이 들기 때문에 최근에는 1~2인 정도가 운영 가능한 ‘작은 식당’ 개업이 느는 추세다.,2023년 연말 태평양 건너 미국 땅에서 낭보가 들렸다 뉴욕타임스 NYT 올해 뉴욕 최고의 요리 8선 중 하나로 뉴욕 코리아타운에 있는 한인 국밥집의 돼지곰탕 식당 옥동식 이 선정된 것이다 NYT는 지난해 섣달 13일 현지 시간 뉴욕 지역 레스토랑 대표 메뉴 중 최고 요리 8선에 옥동식 을 포함시켰다 옥동식 은 2016년 서울 마포구 합정역 인근 한 골목에서 문을 열었다 개업 초기부터 골목에 대기 줄이 길게 늘어섰다 맛집 소문도 있고 10석밖에 되지 않은 자리 때문이다 테이블이 따로 있지 않고 바 형태다 그만큼 매장 규모가 작다 그런데도 미국의 경제 중심부이자 미식의 도시 뉴욕의 뉴요커들에게 인정받은 것이다 NYT는 옥동식 돼지곰탕을 매일 먹어도 질리지 않을 국물 이라고 평했다 그러면서 특별한 날에 먹으면 더 좋을 것 이라고 덧붙였다 해석하기 나름이겠지만 매우 특별한 음식이란 의미에 무게가 실린다 옥동식 의 성과는 2022년 11월 맨해튼에 매장을 낸 지 1년 만의 쾌거다 옥동식 서교점은 2018년 미쉐린가이드 빕구르망에 선정되면서부터 매년 명성을 이어 가고 있다 미쉐린가이드는 돼지국밥에 대한 선입견을 완전히 뒤엎어 버린 이곳의 돼지국밥 또는 돼지곰탕은 지리산 버크셔 K 흑돼지의 앞다리와 뒷다릿살만을 고아 육수가 유난히 맑은 것이 특징 이라며 한소끔 김을 뺀 밥과 80 만 익혀 얇게 썬 고기를 방짜유기에 담은 후 뜨거운 육수를 부으면 고기는 마저 익고 육수는 더 깊게 우러나 담백하면서도 진한 감칠맛을 낸다 고 선정 이유를 설명했다 미쉐린가이드는 돼지국밥과 돼지곰탕을 혼용하고 있는데 이는 곰탕과 국밥의 메뉴 분류 때문이다 옥동식은 곰탕이 국밥에 속해 있기에 돼지국밥이 아닌 돼지곰탕으로 시작을 했고 새로 생겨난 많은 곳에서 돼지국밥이 아닌 돼지곰탕으로 명명해 판매하고 있다 고 부연했다 옥동식 이 있는 서교동부터 연남동 망원동 등 홍대 상권을 중심으로 작은 식당들 개업이 붐을 이루고 있다 큰 식당을 개업하려면 초기 투자비와 인건비가 많이 들기 때문에 최근에는 1 2인 정도가 운영 가능한 작은 식당 개업이 느는 추세다,0,0,0,0,0,0,1,1068,"매장, 자리, 테이블"
kakao,소문난성수감자탕,ㅊㅊ,144.0,2025-09-11,,,기대를 하지 않았지만 큰 기대를 할 필요 없었던 곳 정말 무난한 감자탕이지만 너무 번잡해서 불편했다 다만! 감자탕 특유의 조미료향이 더부룩하게 남는 경우가 많은데 여기는 깔끔했다,99,True,3.0,3.9,골드 레벨,기대를 하지 않았지만 큰 기대를 할 필요 없었던 곳 정말 무난한 감자탕이지만 너무 번잡해서 불편했다 다만! 감자탕 특유의 조미료향이 더부룩하게 남는 경우가 많은데 여기는 깔끔했다,기대를 하지 않았지만 큰 기대를 할 필요 없었던 곳 정말 무난한 감자탕이지만 너무 번잡해서 불편했다 다만 EXCLAM 감자탕 특유의 조미료향이 더부룩하게 남는 경우가 많은데 여기는 깔끔했다,0,0,0,0,1,0,0,99,깔끔
naver,육산장 홍대본점,채민5297,24.0,2026.04.06,1번째 방문,영수증,분위기 진짜좋고 넘 맛있습니다ㅠㅠㅠㅠㅠ 재방문의사 100😃💕,33,True,,,,분위기 진짜좋고 넘 맛있습니다ㅠㅠㅠㅠㅠ 재방문의사 100😃💕,분위기 진짜좋고 넘 맛있습니다 재방문의사 100 EMO_POS EMO_POS,1,0,0,1,0,0,1,33,분위기
kakao,육산장 홍대본점,😶‍🌫️,1.0,2026-04-14,,,고기들이 너무 맛있고 찌개도 너무 맛있어요! 덕분에 잘 먹고 갑니당 야외 분위기 실내분위기 다 너무 좋고 직원분들도 친절하셨어요 또다른 맛있고 예쁜 추억을 만들어주셔거 감사합니다,99,True,5.0,5.0,브론즈 레벨,고기들이 너무 맛있고 찌개도 너무 맛있어요! 덕분에 잘 먹고 갑니당 야외 분위기 실내분위기 다 너무 좋고 직원분들도 친절하셨어요 또다른 맛있고 예쁜 추억을 만들어주셔거 감사합니다,고기들이 너무 맛있고 찌개도 너무 맛있어요 EXCLAM 덕분에 잘 먹고 갑니당 야외 분위기 실내분위기 다 너무 좋고 직원분들도 친절하셨어요 또다른 맛있고 예쁜 추억을 만들어주셔거 감사합니다,0,0,0,0,1,0,0,99,분위기
kakao,소문난성수감자탕,바람부는 날에...,65.0,2025-01-30,,,"주변에 오픈한 식당이 없어 예전부터 맛이 별로라 생각않고 갔지만, 종업원 불친절하고 청결한 느낌은 없으며, 소문난 특별한 맛은 없고, 뼈해장국에 시레기는 기본인데 구분하고, 주차장 완비로 안내하는데, 주차장은 없고 노상에 주차하고 관리비를 받네요.",138,True,1.0,3.1,실버 레벨,"주변에 오픈한 식당이 없어 예전부터 맛이 별로라 생각않고 갔지만, 종업원 불친절하고 청결한 느낌은 없으며, 소문난 특별한 맛은 없고, 뼈해장국에 시레기는 기본인데 구분하고, 주차장 완비로 안내하는데, 주차장은 없고 노상에 주차하고 관리비를 받네요.",주변에 오픈한 식당이 없어 예전부터 맛이 별로라 생각않고 갔지만 종업원 불친절하고 청결한 느낌은 없으며 소문난 특별한 맛은 없고 뼈해장국에 시레기는 기본인데 구분하고 주차장 완비로 안내하는데 주차장은 없고 노상에 주차하고 관리비를 받네요,0,0,0,0,0,0,0,138,"청결, 주차"
naver,이태리국시 성수,kal****,958.0,2026.04.11,1번째 방문,영수증,"이태리국시 성수 다녀왔는데 분위기도 좋고 음식도 전체적으로 깔끔해서 만족스러웠어요. 면 식감이 좋고 소스 맛도 너무 무겁지 않아서 끝까지 맛있게 먹을 수 있었고, 성수 특유의 감성이랑도 잘 어울리는 공간이라 데이트나 친구랑 가기 좋았어요. 재방문 의사 있습니다.",146,True,,,,"이태리국시 성수 다녀왔는데 분위기도 좋고 음식도 전체적으로 깔끔해서 만족스러웠어요. 면 식감이 좋고 소스 맛도 너무 무겁지 않아서 끝까지 맛있게 먹을 수 있었고, 성수 특유의 감성이랑도 잘 어울리는 공간이라 데이트나 친구랑 가기 좋았어요. 재방문 의사 있습니다.",이태리국시 성수 다녀왔는데 분위기도 좋고 음식도 전체적으로 깔끔해서 만족스러웠어요 면 식감이 좋고 소스 맛도 너무 무겁지 않아서 끝까지 맛있게 먹을 수 있었고 성수 특유의 감성이랑도 잘 어울리는 공간이라 데이트나 친구랑 가기 좋았어요 재방문 의사 있습니다,0,0,0,0,0,0,0,146,"분위기, 공간, 깔끔, 데이트"
naver,보끔당 성수점,ghoood,45.0,2026.03.29,1번째 방문,영수증,매장 깔끔하고 음식 맛있어요! 추천드립니다! 일단계 추천이요~,34,True,,,,매장 깔끔하고 음식 맛있어요! 추천드립니다! 일단계 추천이요~,매장 깔끔하고 음식 맛있어요 EXCLAM 추천드립니다 EXCLAM 일단계 추천이요,0,0,0,0,1,0,0,34,"매장, 깔끔"
kakao,옥동식 서교점,보자기,206.0,2025-10-04,,,첫 입 먹었을 때 생각보다 육수가 간이 있었어요 깔끔한 육수라 더 간이 느껴졌을 수도 있고 이건 완전 개인차이라 저의 개인적인 의견입니다! 고기 양도 많고 부드러워서 맛있었어요 쌀알도 크고 씹는 맛도 있었지만 웨이팅하고 먹을 맛은 아니다 느낌?,136,True,3.0,3.9,골드 레벨,첫 입 먹었을 때 생각보다 육수가 간이 있었어요 깔끔한 육수라 더 간이 느껴졌을 수도 있고 이건 완전 개인차이라 저의 개인적인 의견입니다! 고기 양도 많고 부드러워서 맛있었어요 쌀알도 크고 씹는 맛도 있었지만 웨이팅하고 먹을 맛은 아니다 느낌?,첫 입 먹었을 때 생각보다 육수가 간이 있었어요 깔끔한 육수라 더 간이 느껴졌을 수도 있고 이건 완전 개인차이라 저의 개인적인 의견입니다 EXCLAM 고기 양도 많고 부드러워서 맛있었어요 쌀알도 크고 씹는 맛도 있었지만 웨이팅하고 먹을 맛은 아니다 느낌 QUESTION,0,0,0,0,1,1,0,136,깔끔
naver,홍대 육지,you****,12.0,2026.04.18,1번째 방문,영수증,"고기 진짜 맛있게 먹고 왔어요. 육즙도 살아있고 잡내 없이 깔끔해서 계속 손이 가더라고요. 굽기도 딱 적당하게 나와서 따로 손댈 필요도 없었고, 같이 나온 반찬들이랑도 조합이 잘 맞아서 더 만족스러웠습니다. 오랜만에 제대로 된 고기 먹은 느낌이라 다음에 또 방문할 생각이에요. 하",156,True,,,,"고기 진짜 맛있게 먹고 왔어요. 육즙도 살아있고 잡내 없이 깔끔해서 계속 손이 가더라고요. 굽기도 딱 적당하게 나와서 따로 손댈 필요도 없었고, 같이 나온 반찬들이랑도 조합이 잘 맞아서 더 만족스러웠습니다. 오랜만에 제대로 된 고기 먹은 느낌이라 다음에 또 방문할 생각이에요. 하",고기 진짜 맛있게 먹고 왔어요 육즙도 살아있고 잡내 없이 깔끔해서 계속 손이 가더라고요 굽기도 딱 적당하게 나와서 따로 손댈 필요도 없었고 같이 나온 반찬들이랑도 조합이 잘 맞아서 더 만족스러웠습니다 오랜만에 제대로 된 고기 먹은 느낌이라 다음에 또 방문할 생각이에요 하,0,0,0,0,0,0,0,156,깔끔
naver,능동미나리 성수지점,산에별하나,152.0,2025.12.21,1번째 방문,영수증,"줄서서 먹는 맛집이라 아점겸 일찍 갔더니 줄없이 바로 입장하여 먹었어요 육전 반접시, 곰탕 시켰는데 옆테이블에서 육회비빔밥이 맛있다네요 곰탕은 호불호가 있을것같아요 미나리 특유향이 싫다면 비빔밥 먹기를 추천하고싶네요 비빔밥을 못먹은것이 아쉽습니다",137,True,,,,"줄서서 먹는 맛집이라 아점겸 일찍 갔더니 줄없이 바로 입장하여 먹었어요 육전 반접시, 곰탕 시켰는데 옆테이블에서 육회비빔밥이 맛있다네요 곰탕은 호불호가 있을것같아요 미나리 특유향이 싫다면 비빔밥 먹기를 추천하고싶네요 비빔밥을 못먹은것이 아쉽습니다",줄서서 먹는 맛집이라 아점겸 일찍 갔더니 줄없이 바로 입장하여 먹었어요 육전 반접시 곰탕 시켰는데 옆테이블에서 육회비빔밥이 맛있다네요 곰탕은 호불호가 있을것같아요 미나리 특유향이 싫다면 비빔밥 먹기를 추천하고싶네요 비빔밥을 못먹은것이 아쉽습니다,0,0,0,0,0,0,0,137,테이블
