platform,store_name,account_id,account_review_count,visit_date,visit_count,verification_method,review_text,review_length,has_photo,rating,account_avg_rating,reviewer_level,review_original,review_sentiment,has_emo_pos,has_emo_neg,has_laugh,has_cry,has_exclamation,has_question,has_number,original_char_len,음식_matched_keywords
naver,태양곱창 성수점,daw****,45.0,2026.03.26,1번째 방문,영수증,국물이 엄청 맛있어요!! 그리고 소자인데 곱창 양 보이시나요 엄청 양도 많고 굿굿 또 올거에욤,52,True,,,,국물이 엄청 맛있어요!! 그리고 소자인데 곱창 양 보이시나요 엄청 양도 많고 굿굿 또 올거에욤,국물이 엄청 맛있어요 EXCLAM 그리고 소자인데 곱창 양 보이시나요 엄청 양도 많고 굿굿 또 올거에욤,0,0,0,0,1,0,0,52,"맛, 맛있, 양, 국물"
naver,락희옥 마포본점,외계사람,18.0,2025.11.11,1번째 방문,영수증,맛있어요 고기냄새 안나고 1인 먹기 배불러요 혼밥식사도 편히할수있어요,38,False,,,,맛있어요 고기냄새 안나고 1인 먹기 배불러요 혼밥식사도 편히할수있어요,맛있어요 고기냄새 안나고 1인 먹기 배불러요 혼밥식사도 편히할수있어요,0,0,0,0,0,0,1,38,"맛, 맛있, 고기, 밥"
naver,일등식당,뀨81,820.0,2026.01.11,1번째 방문,영수증,가격도 착하고 맛나요♡,12,True,,,,가격도 착하고 맛나요♡,가격도 착하고 맛나요 EMO_POS,1,0,0,0,0,0,0,12,맛
naver,보끔당 성수점,rwanon,33.0,2026.02.22,1번째 방문,영수증,성수역 인근에 왔다가 처음 방문했습니다. 매장 깔끔하고 음식도 맛깔스럽네요. 양도 푸짐해서 맛있게 잘 먹었습니다.,63,True,,,,성수역 인근에 왔다가 처음 방문했습니다. 매장 깔끔하고 음식도 맛깔스럽네요. 양도 푸짐해서 맛있게 잘 먹었습니다.,성수역 인근에 왔다가 처음 방문했습니다 매장 깔끔하고 음식도 맛깔스럽네요 양도 푸짐해서 맛있게 잘 먹었습니다,0,0,0,0,0,0,0,63,"맛, 맛있, 음식, 양"
naver,장인닭갈비 홍대점,수혈은커피로해주세요,15.0,2026.04.14,1번째 방문,영수증,늦은점심으로 닭갈비먹으러왔어요! 양도 많구 매장도 식기도 깨끗하고 밖이 살짝 더웠는데 에어컨이 켜져있어서 너무 쾌적하게 식사했어요!!,74,True,,,,늦은점심으로 닭갈비먹으러왔어요! 양도 많구 매장도 식기도 깨끗하고 밖이 살짝 더웠는데 에어컨이 켜져있어서 너무 쾌적하게 식사했어요!!,늦은점심으로 닭갈비먹으러왔어요 EXCLAM 양도 많구 매장도 식기도 깨끗하고 밖이 살짝 더웠는데 에어컨이 켜져있어서 너무 쾌적하게 식사했어요 EXCLAM,0,0,0,0,1,0,0,74,양
naver,을밀대 평양냉면,피아니시모안단테,212.0,2025.06.17,1번째 방문,영수증,"화요일 11시 38분부터 줄 서기 시작해서 30분정도 기다린 후 입장했습니다. 전에 을밀대 강남점 가봤었는데, 본점은 본점인 것 같습니다.. 주문 시 얼음 빼달라고 할 수 있어요. 너무 오랜만에 와서 얼음 있는 버전으로 달라고 했습니다. 고기가 크게 2조각 있어구요. 녹두전도 맛있네요ㅠ 면 다 먹는 동안 얼음이 녹아서 2가지 맛이 느껴지는ㅁ 묘미 (?) 가 있습니다만 제 취향은 얼음없는 버전이라 다음에 오면 얼음없이 주문하려구요!!!",244,True,,,,"화요일 11시 38분부터 줄 서기 시작해서 30분정도 기다린 후 입장했습니다. 전에 을밀대 강남점 가봤었는데, 본점은 본점인 것 같습니다.. 주문 시 얼음 빼달라고 할 수 있어요. 너무 오랜만에 와서 얼음 있는 버전으로 달라고 했습니다. 고기가 크게 2조각 있어구요. 녹두전도 맛있네요ㅠ 면 다 먹는 동안 얼음이 녹아서 2가지 맛이 느껴지는ㅁ 묘미 (?) 가 있습니다만 제 취향은 얼음없는 버전이라 다음에 오면 얼음없이 주문하려구요!!!",화요일 11시 38분부터 줄 서기 시작해서 30분정도 기다린 후 입장했습니다 전에 을밀대 강남점 가봤었는데 본점은 본점인 것 같습니다 주문 시 얼음 빼달라고 할 수 있어요 너무 오랜만에 와서 얼음 있는 버전으로 달라고 했습니다 고기가 크게 2조각 있어구요 녹두전도 맛있네요 면 다 먹는 동안 얼음이 녹아서 2가지 맛이 느껴지는 묘미 QUESTION 가 있습니다만 제 취향은 얼음없는 버전이라 다음에 오면 얼음없이 주문하려구요 EXCLAM,0,0,0,0,1,1,1,244,"맛, 맛있, 고기, 면"
naver,능동미나리 성수지점,산에별하나,152.0,2025.12.21,1번째 방문,영수증,"줄서서 먹는 맛집이라 아점겸 일찍 갔더니 줄없이 바로 입장하여 먹었어요 육전 반접시, 곰탕 시켰는데 옆테이블에서 육회비빔밥이 맛있다네요 곰탕은 호불호가 있을것같아요 미나리 특유향이 싫다면 비빔밥 먹기를 추천하고싶네요 비빔밥을 못먹은것이 아쉽습니다",137,True,,,,"줄서서 먹는 맛집이라 아점겸 일찍 갔더니 줄없이 바로 입장하여 먹었어요 육전 반접시, 곰탕 시켰는데 옆테이블에서 육회비빔밥이 맛있다네요 곰탕은 호불호가 있을것같아요 미나리 특유향이 싫다면 비빔밥 먹기를 추천하고싶네요 비빔밥을 못먹은것이 아쉽습니다",줄서서 먹는 맛집이라 아점겸 일찍 갔더니 줄없이 바로 입장하여 먹었어요 육전 반접시 곰탕 시켰는데 옆테이블에서 육회비빔밥이 맛있다네요 곰탕은 호불호가 있을것같아요 미나리 특유향이 싫다면 비빔밥 먹기를 추천하고싶네요 비빔밥을 못먹은것이 아쉽습니다,0,0,0,0,0,0,0,137,"맛, 맛있, 면, 밥"
naver,각시보쌈,치즈케키48,138.0,2025.06.07,1번째 방문,영수증,보쌈이 야들야들하고 맛있어요 정식이 정말 푸짐하고 훌륭합니다 회식이나 가족모임으로 또 와야겠어요,53,True,,,,보쌈이 야들야들하고 맛있어요 정식이 정말 푸짐하고 훌륭합니다 회식이나 가족모임으로 또 와야겠어요,보쌈이 야들야들하고 맛있어요 정식이 정말 푸짐하고 훌륭합니다 회식이나 가족모임으로 또 와야겠어요,0,0,0,0,0,0,0,53,"맛, 맛있, 보쌈"
naver,장인닭갈비 홍대점,Dd50,2.0,2026.04.04,1번째 방문,영수증,음식이 준비되는데 시간이 좀 걸렸지만 직원 분들도 너무 친절하세요. 그리고 안내견도 들어오는 모습이 너무 좋아요. 번창하세요!!,71,True,,,,음식이 준비되는데 시간이 좀 걸렸지만 직원 분들도 너무 친절하세요. 그리고 안내견도 들어오는 모습이 너무 좋아요. 번창하세요!!,음식이 준비되는데 시간이 좀 걸렸지만 직원 분들도 너무 친절하세요 그리고 안내견도 들어오는 모습이 너무 좋아요 번창하세요 EXCLAM,0,0,0,0,1,0,0,71,"음식, 간"
kakao,보끔당 성수점,포요요,1.0,2026-02-25,,,묵은지순살 맛있었는데 묵은지가 생각보다 꽤 셔요 ㅜ 일반을 더 추천드립니다 🥰🥰 #보끔당 #보끔당닭볶음탕 #보끔당성수,65,False,5.0,5.0,브론즈 레벨,묵은지순살 맛있었는데 묵은지가 생각보다 꽤 셔요 ㅜ 일반을 더 추천드립니다 🥰🥰 #보끔당 #보끔당닭볶음탕 #보끔당성수,묵은지순살 맛있었는데 묵은지가 생각보다 꽤 셔요 일반을 더 추천드립니다 EMO_POS EMO_POS 보끔당 보끔당닭볶음탕 보끔당성수,1,0,0,0,0,0,0,65,"맛, 맛있"
