dataset,accuracy,precision_real_1,recall_real_1,f1_real_1,precision_fake_0,recall_fake_0,f1_fake_0,wrong_cases,total,tn_fake_correct,fp_fake_to_real,fn_real_to_fake,tp_real_correct
TRAIN,0.7385458167330677,0.7025023169601483,0.7879417879417879,0.7427731504164625,0.7804090419806243,0.6931166347992351,0.7341772151898734,525,2008,725,321,204,758
TEST,0.7390438247011952,0.6896551724137931,0.8298755186721992,0.7532956685499058,0.8066037735849056,0.6551724137931034,0.7230443974630021,131,502,171,90,41,200
