계정 ID,계정의 리뷰 수,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
최호은,81,2025-11-06,4.0,True,372,"등심은 단연 원탑. 모든 돈까스집을 가본것은 아니지만 지금까지 갔던 곳중에 가장 좋았다. 일반적인 등심보다 조금 더 기름진 느낌에 익힘정도가 괜찮다. 와사비, 소금, 소스 모두 잘어울린다. 블랙타이거새우는 몸통 껍질만 벗겨 머리 꼬리를 살려 통째로 튀겨나오는데 맛은 있긴하나 먹기가 좀 불편했고 솔직히 이 가격에라는 생각은 든다. 카레에 치즈추가 역시 그냥 저냥 무난했다. 카레는 양파를 오래 볶은 카레 맛이고 치즈추가는 화구와 함께 미지근한 상태의 카레위에 녹이지 않고 줘 천천히 녹아들어가는데 개인적으로는 처음부터 뜨거운 카레에 녹여서 올려줬으면 했다. 돈까스와 같이 먹으려했는데 거의 다 먹을때쯤 돼서야 뜨뜻해졌다. 다시 간다면 그냥 등심만 시켜 먹을것 같다.",실버 레벨
CadenZa,48,2025-10-31,3.0,False,6,무난합니다.,실버 레벨
솔직히,40,2025-10-20,1.0,False,42,"늦게나오는 음식, 축축한 등심돈까스 솔직히 냉동돈까스와 크게 다르지 않았어요",실버 레벨
푸,31,2025-10-13,3.0,False,54,유명한 거에 비해 그렇게 특별하고 맛있진 않은 거 같아요 매장이 지하에 있습니다 재방문 의사 없음,실버 레벨
맛집유영,591,2025-10-13,5.0,True,57,세월 지나도 여전히 줄서는 돈카츠집. 블랙타이거새우가 정말 크고 맛있습니다. 안심도 굉장히 훌륭합니다.,골드 레벨
홍우민,3,2025-10-13,3.0,True,330,"새우 + 안심 , 등심 + 생선 이렇게 시켰습니다 지인들이랑 4가지 메뉴 나눠먹고 싶었습니다 등심 두개 , 새우 + 안심 이렇게 나와서 등심이 아니라 생선이라 얘기했습니다 본인이 주문확인 할 때 저희가 확인했다 그러더군요 지인과 저는 생선으로 확인하기도 했고 손가락 짚어가며 메뉴 시켰는데 아쉽더라고요 그래도 나온 음식은 맛있게 먹었습니다 가본 돈까스 집 중에 4점 정도입니다 웨이팅이 필요하면 다른 곳 갈 거 같습니다 새우는 통으로 나오니 가위 필요하구요 등심이 안 잘린 부분도 있었습니다 두개 분량이 붙어있습니다 주문 잘못 나와서 안심 돈가스 서비스 주신건 너무 배불러서 포장해갑니다..",브론즈 레벨
유,35,2025-10-10,4.0,True,176,"정돈 홍대점, 더현대점에 이어 처음으로 본점에 방문해 보았습니다. 오랜만에 먹어서 그 맛이 잘 기억 안났는데 역시 돈까스 중 맛있는편에 속합니다. 지하1층이고 낡은듯한 느낌이지만 맛은 좋았습니다. 저녁타임 오픈타임 맞춰 들어가니 딱히 기다리지 않았지만 20분 뒤부턴 웨이팅이 있는 듯 했습니다! 재방문의사 있습니다.",실버 레벨
돌아다니는,46,2025-12-06,4.0,False,55,안심돈까스에 새우튀김 추가해서 먹었는데 돈까스에는 만족했으나 새우튀김은 그냥 시키지말걸 후회함...,실버 레벨
성원,7,2025-11-20,5.0,True,118,💛점심을 정돈에서 먹었는데 비가 많이 와서 외부 사진을 많이 찍지 못했어요. 가게가 지하에 있어서 잘 찾아야 하고 웨이팅도 길다는 단점이 있습니다. 하지만 기다린 만큼 맛이 좋아서 괜찮았습니다.참고로 저는 ...,골드 레벨
머랭언니,129,2025-11-10,4.0,False,113,친구들과 모임이 있어 점심식사 하려갔네요 항상 웨이팅 기본 30분 이라고 들어 걱정을 하였는데 1시40분 바로 자리 안내 받고 5명이 같은 메뉴 주문합니다 짝짝짝 맛있 안심 돈까스 이곳은 돈까스 도...,골드 레벨
최호은,81,2025-11-06,4.0,True,69,등심은 단연 원탑. 모든 돈까스집을 가본것은 아니지만 지금까지 갔던 곳중에 가장 좋았다. 일반적인 등심보다 조금 더 기...,실버 레벨
홍우민,3,2025-10-13,3.0,True,67,"새우 + 안심 , 등심 + 생선 이렇게 시켰습니다 지인들이랑 4가지 메뉴 나눠먹고 싶었습니다 등심 두개 , 새우 +...",브론즈 레벨
유,35,2025-10-10,4.0,True,122,"정돈 홍대점, 더현대점에 이어 처음으로 본점에 방문해 보았습니다. 오랜만에 먹어서 그 맛이 잘 기억 안났는데 역시 돈까스 중 맛있는편에 속합니다. 지하1층이고 낡은듯한 느낌이지만 맛은 좋았습니다. 저녁타임 오픈타임...",실버 레벨
Raven Kim,5,2025-10-09,5.0,True,215,아침 오픈하기 전에 가서 웨이팅 없었어요. 뒤로 막 줄이 길어지더라구요. A세트 안심돈까스 등심돈까스 새우까스 두개 하고 일본식 카레(스펙타큘라한 맛은 아니라 단품으로 따로 시키는 건 안 할 거 같지만..)가 같이 나오는 구성인데 저는 굉장히 맛있게 먹었습니다. 따로 소스 안 찍어 먹고 와사비랑 소금 만으로 먹어도 맛있어요. 안심 등심 가스는 말할 것도 없고 새우도 탱글탱글 했어요!,브론즈 레벨
reddd,7,2025-08-29,5.0,True,8,안심 넘넘 굳!,브론즈 레벨
로빈,47,2025-08-27,5.0,False,104,돈가스 생각날 때 가끔 찾는 집. 가격이 적당하고 매장이 깔끔하다. 공간이 반지하라 소리가 울려서 시끄러울 수도 있지만 다른 부분에선 불편한 점이 따로 없다. 혼밥 가능! 다인석 많음!!,실버 레벨
박톨,17,2025-08-21,3.0,True,200,가게 계단 바로 위 주차장에서 앞치마 맨 남자분이 담배를 뻑뻑 피우시길래 정돈 직원은 아니겠지 하고 들어갔는데 나중에 따라 들어오시더군요 그날은 홀서빙만 하시긴 하셨지만 나중에 주방도 들어가실지는 모를 일 아무튼 돈까스는 요즘 상향 평준화된 음식 중 하나라 솔직히 와 대박 인생돈까스다 까지는 모르겠고 그냥 맛있는 돈까스 집. 그 이상도 그 이하도 아닙니다!,실버 레벨
시골쥐,25,2025-08-16,2.0,False,85,맛이 없다기 보다는 개인적으로 이런 촉촉한 돈까스가 취향이 아닌가봄... 입에 맞는 사람은 인생돈까스로 뽑음 아무튼 개인적으로는 아주 맛있진 않았음...,실버 레벨
단우아빠,9,2025-07-31,3.0,False,44,"새우는 덜익고. 안섬은 뻑뻑하고, 명성에 비해서 완전 실망임. 카레도 밍밍...",브론즈 레벨
악에받칠때만욕함,93,2025-07-09,5.0,False,42,"돈까스 샐러드 된장국 다 맛있음. 흠이라면 너무 비싸다는거, 웨이팅 길다는거",실버 레벨
xos,69,2025-07-05,5.0,True,52,"토요일 1시에가서 20분정도의 웨이팅 이렇게 맛있는 카츠 처음 먹어본다 안심, 생선카츠 대존맛",실버 레벨
마포맛쟁이,107,2025-06-29,4.0,True,64,프리미엄 돈까츠의 포문을 연 1세대 돈까스 브랜드이나 정돈 보다 맛있는 돈까츠 집은 이제 너무나도 많은 것이 현실…,골드 레벨
소살,61,2025-06-23,5.0,False,14,"정돈 그립네요, 먹고싶어요",실버 레벨
🍯,11,2025-06-12,5.0,False,54,차고 넘치게 돈가츠 맛집을 가봤지만 여기보다 맛있는 집을 못찾겠다 아시는 분 있으면 좀 알려주세요,실버 레벨
방방,46,2025-06-07,5.0,True,37,먹어본 돈까스집 중 역시 원탑 돈까스도 맛있지만 밑반찬도 다 맛있음,실버 레벨
아론,41,2025-06-04,4.0,False,88,고기가 맛있는데 가격은 살짝 부담 소금 종류별로 맛있고 와사비도 ㅇ앗있 근데 좀 퍽퍽? 목 메이는 맛이에요 반찬으로 상쇄 어려운. 맛이 있긴함 고기양도 많아요,실버 레벨
Raven Kim,5,2025-10-09,5.0,True,120,아침 오픈하기 전에 가서 웨이팅 없었어요. 뒤로 막 줄이 길어지더라구요. A세트 안심돈까스 등심돈까스 새우까스 두개 하고 일본식 카레(스펙타큘라한 맛은 아니라 단품으로 따로 시키는 건 안 할 거 같지만..)가 ...,브론즈 레벨
박톨,17,2025-08-21,3.0,True,111,가게 계단 바로 위 주차장에서 앞치마 맨 남자분이 담배를 뻑뻑 피우시길래 정돈 직원은 아니겠지 하고 들어갔는데 나중에 따라 들어오시더군요 그날은 홀서빙만 하시긴 하셨지만 나중에 주방도 들어가실지...,실버 레벨
아론,41,2025-06-04,4.0,False,63,고기가 맛있는데 가격은 살짝 부담 소금 종류별로 맛있고 와사비도 ㅇ앗있 근데 좀 퍽퍽? 목 메이는 맛이에요 ...,실버 레벨
