store_name,platform,review_count,avg_food_score,avg_price_score,avg_service_score,avg_atmosphere_score,avg_general_score,avg_total_score,positive_ratio,neutral_ratio,negative_ratio
각시보쌈,kakao,41,0.975609756097561,0.17073170731707318,0.0,-0.12195121951219512,0.2926829268292683,1.3170731707317074,0.5853658536585366,0.12195121951219512,0.2926829268292683
각시보쌈,naver,127,1.4960629921259843,0.25196850393700787,-0.015748031496062992,-0.007874015748031496,0.8267716535433071,2.5511811023622046,0.7244094488188977,0.13385826771653545,0.14173228346456693
굴다리식당,kakao,25,0.4,-0.04,-0.12,-0.04,-0.36,-0.16,0.48,0.08,0.44
굴다리식당,naver,54,0.6851851851851852,0.0,-0.018518518518518517,-0.05555555555555555,0.018518518518518517,0.6296296296296297,0.5185185185185185,0.12962962962962962,0.35185185185185186
금금,kakao,21,0.9523809523809523,-0.14285714285714285,-0.2857142857142857,-0.047619047619047616,0.14285714285714285,0.6190476190476191,0.42857142857142855,0.19047619047619047,0.38095238095238093
금금 성수점,naver,149,2.1946308724832213,0.0,0.1476510067114094,0.14093959731543623,1.395973154362416,3.879194630872483,0.9395973154362416,0.04697986577181208,0.013422818791946308
능동미나리 성수점,kakao,92,1.5869565217391304,-0.043478260869565216,0.17391304347826086,0.043478260869565216,0.6304347826086957,2.391304347826087,0.75,0.09782608695652174,0.15217391304347827
능동미나리 성수지점,naver,140,2.0285714285714285,0.05714285714285714,0.21428571428571427,0.06428571428571428,1.3071428571428572,3.6714285714285713,0.8857142857142857,0.05714285714285714,0.05714285714285714
락희옥 마포본점,kakao,20,0.75,-0.35,0.5,0.25,1.25,2.4,0.5,0.15,0.35
락희옥 마포본점,naver,116,2.0948275862068964,-0.008620689655172414,0.46551724137931033,0.4224137931034483,1.9482758620689655,4.922413793103448,0.9827586206896551,0.0,0.017241379310344827
마포양지설렁탕,naver,56,1.4821428571428572,-0.10714285714285714,0.03571428571428571,0.10714285714285714,0.7857142857142857,2.3035714285714284,0.7321428571428571,0.125,0.14285714285714285
마포양지설렁탕 도화점,kakao,22,0.6363636363636364,-0.045454545454545456,-0.18181818181818182,0.0,-0.2727272727272727,0.13636363636363635,0.5,0.18181818181818182,0.3181818181818182
보끔당 성수점,kakao,13,1.2307692307692308,0.0,0.6153846153846154,0.38461538461538464,1.2307692307692308,3.4615384615384617,0.9230769230769231,0.07692307692307693,0.0
보끔당 성수점,naver,114,1.9649122807017543,0.21052631578947367,0.3157894736842105,0.14035087719298245,1.3421052631578947,3.973684210526316,0.9473684210526315,0.03508771929824561,0.017543859649122806
뼈탄집 성수역점,kakao,96,2.3854166666666665,0.0,0.3020833333333333,0.6666666666666666,1.9791666666666667,5.333333333333333,0.96875,0.020833333333333332,0.010416666666666666
뼈탄집 성수역점,naver,165,2.16969696969697,0.048484848484848485,0.46060606060606063,0.509090909090909,1.993939393939394,5.181818181818182,0.9696969696969697,0.012121212121212121,0.01818181818181818
성수족발,kakao,26,0.5769230769230769,-0.07692307692307693,0.11538461538461539,0.0,-0.46153846153846156,0.15384615384615385,0.38461538461538464,0.2692307692307692,0.34615384615384615
성수족발,naver,108,1.1388888888888888,-0.027777777777777776,0.07407407407407407,0.046296296296296294,0.42592592592592593,1.6574074074074074,0.6111111111111112,0.17592592592592593,0.21296296296296297
소문난성수감자탕,kakao,174,0.1724137931034483,-0.005747126436781609,-0.19540229885057472,-0.06896551724137931,-0.764367816091954,-0.8620689655172413,0.2988505747126437,0.1206896551724138,0.5804597701149425
소문난성수감자탕,naver,153,1.1372549019607843,0.1437908496732026,0.013071895424836602,0.006535947712418301,0.19607843137254902,1.4967320261437909,0.6535947712418301,0.13725490196078433,0.20915032679738563
옥동식,naver,143,1.4405594405594406,-0.02097902097902098,0.0,0.14685314685314685,1.006993006993007,2.5734265734265733,0.7762237762237763,0.09090909090909091,0.13286713286713286
옥동식 서교점,kakao,97,0.8865979381443299,-0.05154639175257732,0.0,0.09278350515463918,0.24742268041237114,1.175257731958763,0.5567010309278351,0.16494845360824742,0.27835051546391754
원조 조박집 본관,naver,70,1.5285714285714285,0.1,0.35714285714285715,0.0,0.45714285714285713,2.442857142857143,0.7714285714285715,0.08571428571428572,0.14285714285714285
원조조박집 본관,kakao,22,0.9090909090909091,0.045454545454545456,0.36363636363636365,-0.09090909090909091,0.045454545454545456,1.2727272727272727,0.5909090909090909,0.13636363636363635,0.2727272727272727
