store,account_id,account_review,visit_date,visit_count,verification,review,review_text,photo,group,account_review_count,visit_count_raw,has_photo_raw,rating,account_avg_rating,has_photo,clean_review,review_length,clean_length,length_under_10,length_under_30,length_over_30,length_over_60,experience_count,has_experience,strong_experience_review,context_count,has_context,has_any_number,number_detail_count,has_number_detail,generic_praise_count,has_generic_praise,intensifier_count,intensifier_over_3,exclamation_count,exclamation_over_3,sns_event_count,has_sns_event,mixed_sentiment,trendy_revisit_count,has_trendy_revisit_phrase,account_review_count_is_1,account_review_count_under_5,account_review_count_over_10,account_review_count_over_50,first_visit,revisit,short_generic_review,ultra_short_praise,generic_without_detail,only_praise,experience_rich_review,rich_context_review,low_information_review,event_like_short_praise,event_like_sns_or_service,event_like_low_info_first_visit
이태리국시,hjh6497,25,2026.05.06,1,영수증,맛있게 먹었습니다!,맛있게 먹었습니다!,True,event,25,1번째 방문,True,,,1,맛있게 먹었습니다,10,9,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1
이태리국시,배고프다1172,33,2026.05.09,1,영수증,맛있아요 추천 :-),맛있아요 추천 :-),True,event,33,1번째 방문,True,,,1,맛있아요 추천,11,7,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1
이태리국시,Dnsko,29,2026.05.05,1,영수증,맛있어요 분위기 좋습니다,맛있어요 분위기 좋습니다,True,event,29,1번째 방문,True,,,1,맛있어요 분위기 좋습니다,13,13,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0
이태리국시,pur****,28,2026.05.04,1,영수증,좋은시간 보내고 갑니다🙂,좋은시간 보내고 갑니다🙂,True,event,28,1번째 방문,True,,,1,좋은시간 보내고 갑니다,13,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
이태리국시,밥밥18,147,2026.05.04,1,영수증,분위기 좋고 맛있어요~~,분위기 좋고 맛있어요~~,True,event,147,1번째 방문,True,,,1,분위기 좋고 맛있어요,13,11,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0
이태리국시,이름뭘로하지00,34,2026.04.28,2,영수증,너무 맛있었어용!!🩵🦭👏,너무 맛있었어용!!🩵🦭👏,True,event,34,2번째 방문,True,,,1,너무 맛있었어용,13,8,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0
이태리국시,니진,122,2026.04.26,1,영수증,분위기 좋고 맛있어요 💛,분위기 좋고 맛있어요 💛,True,event,122,1번째 방문,True,,,1,분위기 좋고 맛있어요,13,11,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0
이태리국시,쑤2790,23,2026.04.14,1,영수증,분위기도 좋고 맛있어요~👍😋,분위기도 좋고 맛있어요~👍😋,True,event,23,1번째 방문,True,,,1,분위기도 좋고 맛있어요,15,12,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0
이태리국시,강연58,46,2026.04.05,1,영수증,양이 푸짐하고 다 맛있어요.,양이 푸짐하고 다 맛있어요.,True,event,46,1번째 방문,True,,,1,양이 푸짐하고 다 맛있어요,15,14,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1
이태리국시,민탱민트,31,2026.04.04,1,영수증,빠에야가 엄청 맛있어요요오옹,빠에야가 엄청 맛있어요요오옹,True,event,31,1번째 방문,True,,,1,빠에야가 엄청 맛있어요요오옹,15,15,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1
이태리국시,둥이6725,39,2026.05.04,1,영수증,대창파스타 맛있어요 추천이요!,대창파스타 맛있어요 추천이요!,True,event,39,1번째 방문,True,,,1,대창파스타 맛있어요 추천이요,16,15,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1
이태리국시,Jessica3949,26,2026.05.02,1,영수증,존맛이에여 이거 어떻게 만들져,존맛이에여 이거 어떻게 만들져,True,event,26,1번째 방문,True,,,1,존맛이에여 이거 어떻게 만들져,16,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
이태리국시,지박98,27,2026.04.28,1,영수증,맛나요 돼지처럼 먹었습니다 굿,맛나요 돼지처럼 먹었습니다 굿,True,event,27,1번째 방문,True,,,1,맛나요 돼지처럼 먹었습니다 굿,16,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
