term,count
꼬이지 않아서,2
않아서 편하게,2
편하게 식사할,2
식사할 있었어요,2
있었어요 합정에서,2
합정에서 보쌈,2
보쌈 드시고,2
드시고 싶으신,2
싶으신 분들께,2
분들께 자신,2
자신 있게,2
있게 추천드려요,2
