store_name,platform,review_count,avg_food_score,avg_price_score,avg_service_score,avg_atmosphere_score,avg_general_score,avg_total_score,avg_sentiment_star,avg_rating,avg_diff_abs,positive_ratio,neutral_ratio,negative_ratio
각시보쌈,kakao,41,0.7073170731707317,0.12195121951219512,-0.04878048780487805,-0.1951219512195122,-0.024390243902439025,0.5609756097560976,3.417560975609756,3.5609756097560976,1.119512195121951,0.5121951219512195,0.12195121951219512,0.36585365853658536
각시보쌈,naver,127,0.8267716535433071,0.15748031496062992,-0.09448818897637795,-0.09448818897637795,0.4251968503937008,1.220472440944882,3.6633858267716537,,3.6633858267716537,0.5905511811023622,0.18110236220472442,0.2283464566929134
굴다리식당,kakao,25,-0.12,-0.04,-0.12,-0.08,-0.64,-1.0,2.7772,2.92,0.8532000000000001,0.28,0.2,0.52
굴다리식당,naver,54,0.3148148148148148,-0.07407407407407407,-0.05555555555555555,-0.037037037037037035,-0.4074074074074074,-0.25925925925925924,3.14,,3.14,0.35185185185185186,0.18518518518518517,0.46296296296296297
금금,kakao,21,0.5238095238095238,-0.19047619047619047,-0.3333333333333333,-0.047619047619047616,-0.09523809523809523,-0.14285714285714285,3.031428571428571,3.238095238095238,0.9047619047619048,0.2857142857142857,0.23809523809523808,0.47619047619047616
금금 성수점,naver,149,1.6308724832214765,0.0,0.11409395973154363,0.10738255033557047,1.0201342281879195,2.87248322147651,4.242751677852349,,4.242751677852349,0.785234899328859,0.174496644295302,0.040268456375838924
능동미나리 성수점,kakao,92,0.967391304347826,-0.07608695652173914,0.10869565217391304,-0.010869565217391304,0.2608695652173913,1.25,3.6866304347826087,4.173913043478261,0.8566304347826087,0.5760869565217391,0.15217391304347827,0.2717391304347826
능동미나리 성수지점,naver,140,1.1571428571428573,0.02857142857142857,0.15714285714285714,0.02142857142857143,0.8071428571428572,2.1714285714285713,3.9432857142857145,,3.9432857142857145,0.7071428571428572,0.17857142857142858,0.11428571428571428
락희옥 마포본점,kakao,20,0.55,-0.35,0.3,0.25,0.55,1.3,3.6,3.6,0.5660000000000001,0.45,0.25,0.3
락희옥 마포본점,naver,116,1.4396551724137931,-0.017241379310344827,0.4051724137931034,0.3448275862068966,1.4482758620689655,3.6206896551724137,4.37198275862069,,4.37198275862069,0.8275862068965517,0.08620689655172414,0.08620689655172414
마포양지설렁탕,naver,56,1.2321428571428572,-0.125,-0.017857142857142856,0.08928571428571429,0.48214285714285715,1.6607142857142858,3.7623214285714286,,3.7623214285714286,0.6071428571428571,0.21428571428571427,0.17857142857142858
마포양지설렁탕 도화점,kakao,22,0.2727272727272727,-0.13636363636363635,-0.18181818181818182,0.0,-0.7272727272727273,-0.7727272727272727,2.879090909090909,2.6363636363636362,1.03,0.18181818181818182,0.18181818181818182,0.6363636363636364
보끔당 성수점,kakao,13,1.1538461538461537,0.0,0.6153846153846154,0.38461538461538464,1.0769230769230769,3.230769230769231,4.350769230769231,4.076923076923077,0.8892307692307692,0.8461538461538461,0.15384615384615385,0.0
보끔당 성수점,naver,114,1.368421052631579,0.17543859649122806,0.2543859649122807,0.12280701754385964,1.087719298245614,3.008771929824561,4.287456140350877,,4.287456140350877,0.8859649122807017,0.07894736842105263,0.03508771929824561
뼈탄집 성수역점,kakao,96,1.84375,0.0,0.1875,0.5416666666666666,1.6145833333333333,4.1875,4.523854166666667,4.927083333333333,0.48885416666666676,0.8854166666666666,0.041666666666666664,0.07291666666666667
