store_name,platform,review_count,avg_food_score,avg_price_score,avg_service_score,avg_atmosphere_score,avg_general_score,avg_total_score,positive_ratio,neutral_ratio,negative_ratio
각시보쌈,kakao,60,0.75,0.15,0.0,-0.1,0.4166666666666667,1.2166666666666666,0.6333333333333333,0.13333333333333333,0.23333333333333334
각시보쌈,naver,188,1.1702127659574468,0.2074468085106383,0.026595744680851064,0.0,0.7819148936170213,2.1861702127659575,0.7446808510638298,0.1595744680851064,0.09574468085106383
굴다리식당,kakao,44,0.18181818181818182,-0.022727272727272728,-0.09090909090909091,-0.022727272727272728,-0.1590909090909091,-0.11363636363636363,0.3181818181818182,0.36363636363636365,0.3181818181818182
굴다리식당,naver,85,0.6,0.023529411764705882,0.0,-0.03529411764705882,0.12941176470588237,0.7176470588235294,0.5294117647058824,0.23529411764705882,0.23529411764705882
금금 성수점,kakao,40,0.6,-0.1,-0.15,0.0,0.05,0.4,0.45,0.25,0.3
금금 성수점,naver,200,1.965,0.0,0.145,0.145,1.24,3.495,0.945,0.05,0.005
능동미나리 성수지점,kakao,158,1.120253164556962,-0.056962025316455694,0.12025316455696203,0.03164556962025317,0.5063291139240507,1.7215189873417722,0.6708860759493671,0.16455696202531644,0.16455696202531644
능동미나리 성수지점,naver,198,1.6616161616161615,0.045454545454545456,0.16666666666666666,0.050505050505050504,1.0353535353535352,2.95959595959596,0.8434343434343434,0.11616161616161616,0.04040404040404041
락희옥 마포본점,kakao,39,0.8717948717948718,-0.23076923076923078,0.28205128205128205,0.3333333333333333,0.6923076923076923,1.9487179487179487,0.6153846153846154,0.15384615384615385,0.23076923076923078
락희옥 마포본점,naver,195,1.6256410256410256,-0.005128205128205128,0.3641025641025641,0.3282051282051282,1.564102564102564,3.876923076923077,0.9538461538461539,0.03076923076923077,0.015384615384615385
마포양지설렁탕,kakao,46,0.6086956521739131,-0.043478260869565216,-0.08695652173913043,0.0,-0.17391304347826086,0.30434782608695654,0.43478260869565216,0.30434782608695654,0.2608695652173913
마포양지설렁탕,naver,104,1.0576923076923077,-0.057692307692307696,0.028846153846153848,0.07692307692307693,0.5288461538461539,1.6346153846153846,0.7211538461538461,0.19230769230769232,0.08653846153846154
보끔당 성수점,kakao,26,1.0384615384615385,0.038461538461538464,0.46153846153846156,0.2692307692307692,0.6923076923076923,2.5,0.8461538461538461,0.11538461538461539,0.038461538461538464
보끔당 성수점,naver,200,1.635,0.14,0.225,0.135,0.945,3.08,0.925,0.05,0.025
뼈탄집 성수역점,kakao,193,1.7512953367875648,0.010362694300518135,0.22279792746113988,0.44559585492227977,1.2590673575129534,3.6891191709844557,0.9378238341968912,0.05181347150259067,0.010362694300518135
뼈탄집 성수역점,naver,200,1.975,0.045,0.405,0.445,1.84,4.71,0.97,0.015,0.015
성수족발,kakao,42,0.47619047619047616,0.0,0.09523809523809523,0.0,-0.21428571428571427,0.35714285714285715,0.5,0.23809523809523808,0.2619047619047619
성수족발,naver,150,0.9,-0.02,0.07333333333333333,0.02,0.31333333333333335,1.2866666666666666,0.5533333333333333,0.26,0.18666666666666668
소문난성수감자탕,kakao,248,0.13306451612903225,-0.004032258064516129,-0.13709677419354838,-0.05241935483870968,-0.4717741935483871,-0.532258064516129,0.3024193548387097,0.20967741935483872,0.4879032258064516
소문난성수감자탕,naver,199,0.9547738693467337,0.11557788944723618,0.005025125628140704,-0.010050251256281407,0.22110552763819097,1.2864321608040201,0.6331658291457286,0.19095477386934673,0.17587939698492464
옥동식,kakao,130,0.7615384615384615,-0.046153846153846156,0.0,0.06923076923076923,0.36153846153846153,1.146153846153846,0.5615384615384615,0.19230769230769232,0.24615384615384617
옥동식,naver,183,1.273224043715847,-0.01092896174863388,0.01092896174863388,0.11475409836065574,0.9398907103825137,2.3278688524590163,0.7650273224043715,0.14207650273224043,0.09289617486338798
원조 조박집 본관,kakao,37,0.7297297297297297,0.0,0.35135135135135137,-0.05405405405405406,0.16216216216216217,1.1891891891891893,0.5945945945945946,0.1891891891891892,0.21621621621621623
원조 조박집 본관,naver,104,1.2211538461538463,0.07692307692307693,0.2980769230769231,0.0,0.38461538461538464,1.9807692307692308,0.7403846153846154,0.15384615384615385,0.10576923076923077
육산장 홍대본점,kakao,200,1.08,0.025,0.09,0.46,0.87,2.525,0.885,0.085,0.03
육산장 홍대본점,naver,200,1.235,0.055,0.185,0.57,1.49,3.535,0.985,0.01,0.005
을밀대 평양냉면,kakao,199,0.6482412060301508,-0.08040201005025126,-0.020100502512562814,-0.035175879396984924,0.2562814070351759,0.7688442211055276,0.49748743718592964,0.33668341708542715,0.1658291457286432
을밀대 평양냉면,naver,196,1.25,-0.00510204081632653,0.030612244897959183,0.061224489795918366,0.5663265306122449,1.903061224489796,0.7142857142857143,0.1683673469387755,0.11734693877551021
이태리국시 성수,kakao,200,1.32,0.005,0.135,0.485,1.1,3.045,0.955,0.03,0.015
이태리국시 성수,naver,200,2.215,0.065,0.215,0.53,1.735,4.76,0.97,0.02,0.01
일등식당,kakao,56,1.0714285714285714,0.17857142857142858,0.03571428571428571,0.0,0.26785714285714285,1.5535714285714286,0.5892857142857143,0.21428571428571427,0.19642857142857142
일등식당,naver,103,1.1553398058252426,0.2524271844660194,0.04854368932038835,0.05825242718446602,0.970873786407767,2.4854368932038833,0.7766990291262136,0.1553398058252427,0.06796116504854369
장인닭갈비 홍대점,kakao,162,1.123456790123457,0.12345679012345678,0.043209876543209874,0.1419753086419753,0.9197530864197531,2.3518518518518516,0.7530864197530864,0.10493827160493827,0.1419753086419753
장인닭갈비 홍대점,naver,194,1.1701030927835052,0.18041237113402062,0.29381443298969073,0.10824742268041238,0.4742268041237113,2.2268041237113403,0.8350515463917526,0.1134020618556701,0.05154639175257732
조선시대,kakao,200,1.14,0.085,0.24,0.47,0.91,2.845,0.945,0.05,0.005
조선시대,naver,200,1.37,0.09,0.145,0.535,1.35,3.49,0.945,0.045,0.01
쭌곱창,kakao,168,1.25,0.10119047619047619,0.27380952380952384,0.08333333333333333,0.8690476190476191,2.5773809523809526,0.8333333333333334,0.13095238095238096,0.03571428571428571
쭌곱창,naver,200,1.8,0.11,0.375,0.14,1.105,3.53,0.97,0.03,0.0
태양곱창 성수점,kakao,78,0.3333333333333333,-0.02564102564102564,0.1282051282051282,0.0641025641025641,0.08974358974358974,0.5897435897435898,0.47435897435897434,0.21794871794871795,0.3076923076923077
태양곱창 성수점,naver,200,1.355,0.23,0.135,0.07,0.575,2.365,0.865,0.105,0.03
할머니의 레시피,kakao,45,0.37777777777777777,0.0,-0.37777777777777777,-0.06666666666666667,0.24444444444444444,0.17777777777777778,0.4888888888888889,0.08888888888888889,0.4222222222222222
할머니의 레시피,naver,87,1.206896551724138,0.05747126436781609,0.27586206896551724,0.11494252873563218,0.9310344827586207,2.586206896551724,0.7471264367816092,0.11494252873563218,0.13793103448275862
홍대 육지,kakao,200,1.51,-0.01,0.29,0.18,0.51,2.48,0.835,0.075,0.09
홍대 육지,naver,200,2.015,0.025,0.525,0.32,1.67,4.555,0.96,0.03,0.01
황금콩밭,kakao,60,0.9166666666666666,-0.11666666666666667,0.0,0.05,0.48333333333333334,1.3333333333333333,0.6666666666666666,0.16666666666666666,0.16666666666666666
황금콩밭,naver,105,1.2952380952380953,0.047619047619047616,0.0761904761904762,0.06666666666666667,0.9523809523809523,2.4380952380952383,0.8095238095238095,0.10476190476190476,0.08571428571428572
훼미리손칼국수보쌈,kakao,75,0.52,0.16,-0.10666666666666667,-0.013333333333333334,0.3333333333333333,0.8933333333333333,0.5733333333333334,0.2,0.22666666666666666
훼미리손칼국수보쌈,naver,191,1.324607329842932,0.1518324607329843,0.031413612565445025,-0.041884816753926704,0.450261780104712,1.9162303664921465,0.7329842931937173,0.09947643979057591,0.16753926701570682
