group,store,review_length,length_under_10,length_under_30,length_over_30,length_over_60,account_review_count,account_review_count_is_1,account_review_count_under_5,account_review_count_over_10,account_review_count_over_50,first_visit,revisit,has_photo,rating,account_avg_rating,food_detail_count,has_food_detail,strong_food_detail_review,menu_count,has_menu,rich_menu_review,menu_and_food_detail,experience_count,has_experience,strong_experience_review,context_count,has_context,has_any_number,number_detail_count,has_number_detail,generic_praise_count,has_generic_praise,short_generic_review,ultra_short_praise,generic_without_detail,menu_only_praise,intensifier_count,intensifier_over_3,exclamation_count,exclamation_over_3,sns_event_count,has_sns_event,mixed_sentiment,has_trendy_revisit_phrase,experience_rich_review,high_specificity_review,rich_context_review,low_information_review,event_like_short_praise,event_like_sns_or_service,event_like_low_info_first_visit
event,태양곱창,45.2,0.067,0.438,0.562,0.219,103.669,0.006,0.04,0.885,0.31,0.971,0.029,0.0,,,0.658,0.469,0.125,1.108,0.471,0.265,0.269,0.348,0.242,0.083,0.148,0.106,0.075,0.069,0.054,1.129,0.81,0.34,0.04,0.277,0.106,0.596,0.031,1.281,0.192,0.025,0.021,0.117,0.079,0.319,0.225,0.035,0.246,0.223,0.021,0.238
normal,쭌곱창,53.51,0.031,0.335,0.665,0.317,54.371,0.017,0.142,0.746,0.165,0.954,0.046,0.0,,,0.385,0.269,0.09,0.477,0.365,0.09,0.146,0.527,0.373,0.117,0.138,0.121,0.062,0.025,0.021,1.433,0.885,0.275,0.023,0.369,0.108,0.929,0.073,1.831,0.25,0.021,0.019,0.171,0.115,0.442,0.14,0.038,0.217,0.242,0.019,0.208
