식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무,store,group,account_id,account_review_count,visit_date,visit_count_raw,verification,has_photo_raw,review_text,rating,account_avg_rating,has_photo,visit_count,clean_review,review_length,clean_length,length_under_10,length_under_30,length_over_30,length_over_60,food_detail_count,has_food_detail,strong_food_detail_review,menu_count,has_menu,rich_menu_review,experience_count,has_experience,strong_experience_review,context_count,has_context,has_any_number,number_detail_count,has_number_detail,generic_praise_count,has_generic_praise,intensifier_count,intensifier_over_3,exclamation_count,exclamation_over_3,sns_event_count,has_sns_event,mixed_sentiment,trendy_revisit_count,has_trendy_revisit_phrase,account_review_count_is_1,account_review_count_under_5,account_review_count_over_10,account_review_count_over_50,first_visit,revisit,menu_and_food_detail,short_generic_review,ultra_short_praise,generic_without_detail,menu_only_praise,experience_rich_review,high_specificity_review,rich_context_review,low_information_review,event_like_short_praise,event_like_sns_or_service,event_like_low_info_first_visit
태양곱창 성수점,시현3133,3,2026.02.12,1번째 방문,영수증,양이 너무 많아요!!!!! 좀 매운데 맛있어요????,27,True,태양곱창,event,시현3133,3,2026.02.12,1번째 방문,영수증,,양이 너무 많아요!!!!! 좀 매운데 맛있어요????,,,0,1,양이 너무 많아요 좀 매운데 맛있어요,29,20,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,5,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
태양곱창 성수점,아기ㅊ1즈,18,2025.10.09,1번째 방문,영수증,듣던대로 맛있어요 &gt;_&lt; !! 당면 추가는 필수 ~~,35,True,태양곱창,event,아기ㅊ1즈,18,2025.10.09,1번째 방문,영수증,,듣던대로 맛있어요 &gt;_&lt; !! 당면 추가는 필수 ~~,,,0,1,듣던대로 맛있어요 gt lt 당면 추가는 필수,35,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
태양곱창 성수점,njk****,30,2025.11.01,1번째 방문,영수증,곱창 양 많고 부드러워요! 맛있네요,19,True,태양곱창,event,njk****,30,2025.11.01,1번째 방문,영수증,,곱창 양 많고 부드러워요! 맛있네요,,,0,1,곱창 양 많고 부드러워요 맛있네요,19,18,0,1,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
태양곱창 성수점,eun****,20,2026.04.25,1번째 방문,영수증,맛있어요ㅠㅠㅜ 왜 이영지가 맛있다했는지 알겠어요 잘먹고 갑니다ㅎ,35,True,태양곱창,event,eun****,20,2026.04.25,1번째 방문,영수증,,맛있어요ㅠㅠㅜ 왜 이영지가 맛있다했는지 알겠어요 잘먹고 갑니다ㅎ,,,0,1,맛있어요 왜 이영지가 맛있다했는지 알겠어요 잘먹고 갑니다,35,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
태양곱창 성수점,ans****,139,2025.10.08,1번째 방문,영수증,여긴 진짜 볶음밥이 킥!!,14,True,태양곱창,event,ans****,139,2025.10.08,1번째 방문,영수증,,여긴 진짜 볶음밥이 킥!!,,,0,1,여긴 진짜 볶음밥이 킥,14,12,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
태양곱창 성수점,kim****,30,2025.10.29,1번째 방문,영수증,너무 맛있고 양도 많아서 좋아욥 ㅎㅎㅎ,21,True,태양곱창,event,kim****,30,2025.10.29,1번째 방문,영수증,,너무 맛있고 양도 많아서 좋아욥 ㅎㅎㅎ,,,0,1,너무 맛있고 양도 많아서 좋아욥,21,17,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
태양곱창 성수점,siy****,29,2026.02.14,1번째 방문,영수증,맛있어요!!,6,True,태양곱창,event,siy****,29,2026.02.14,1번째 방문,영수증,,맛있어요!!,,,0,1,맛있어요,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1
태양곱창 성수점,정24,11,2026.01.31,1번째 방문,영수증,양도 많고 맛있어요????,12,True,태양곱창,event,정24,11,2026.01.31,1번째 방문,영수증,,양도 많고 맛있어요????,,,0,1,양도 많고 맛있어요,14,10,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
태양곱창 성수점,sute,30,2025.06.05,1번째 방문,영수증,마라 좋아하는데 성수동에 볼일이 있어서 마라야채곱창이 있다고 해서 들려봤어요 너무 맛있어요!! 입이 얼얼하고 맵지만 계속 손이 가는..??!! 감자전도 너무 맛있어요 추천합니다!! 여기 오시면 꼭드세요 ????????????,119,True,태양곱창,event,sute,30,2025.06.05,1번째 방문,영수증,,마라 좋아하는데 성수동에 볼일이 있어서 마라야채곱창이 있다고 해서 들려봤어요 너무 맛있어요!! 입이 얼얼하고 맵지만 계속 손이 가는..??!! 감자전도 너무 맛있어요 추천합니다!! 여기 오시면 꼭드세요 ????????????,,,0,1,마라 좋아하는데 성수동에 볼일이 있어서 마라야채곱창이 있다고 해서 들려봤어요 너무 맛있어요 입이 얼얼하고 맵지만 계속 손이 가는 감자전도 너무 맛있어요 추천합니다 여기 오시면 꼭드세요,125,102,0,0,1,1,0,0,0,3,1,1,0,0,0,0,0,0,0,0,3,1,2,0,6,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
태양곱창 성수점,big****,44,2025.09.07,1번째 방문,영수증,곱창 짱많고 당면도 진짜 많습니다 곱창 안질기고 야들야들하고 존맛탱구리입니다!! 꼭드세요,49,True,태양곱창,event,big****,44,2025.09.07,1번째 방문,영수증,,곱창 짱많고 당면도 진짜 많습니다 곱창 안질기고 야들야들하고 존맛탱구리입니다!! 꼭드세요,,,0,1,곱창 짱많고 당면도 진짜 많습니다 곱창 안질기고 야들야들하고 존맛탱구리입니다 꼭드세요,49,47,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
