manual_label,review_length,account_review_count,visit_count,has_photo,rating,account_avg_rating,has_generic_praise,generic_count,strong_generic_praise,generic_without_detail,short_generic_review,low_information_review,has_number_detail,number_detail_count,first_visit,revisit,account_review_count_is_1,account_review_count_under_5,account_review_count_under_10,account_review_count_over_50,account_review_count_over_100,has_menu,menu_count,category_count,has_detailed_negative,specific_review
0,38.389,286.007,1.75,0.74,4.24,4.184,0.754,1.213,0.325,0.178,0.319,0.224,0.037,0.049,0.412,0.081,0.147,0.239,0.29,0.409,0.312,0.346,0.576,0.608,0.203,0.527
1,139.919,237.082,1.255,0.674,3.077,3.647,0.716,1.473,0.41,0.017,0.009,0.013,0.192,0.318,0.381,0.046,0.076,0.176,0.238,0.479,0.357,0.736,2.496,1.296,0.532,0.899
