계정 ID,계정의 리뷰 수,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
FSM 신도,111,2021-10-31,3.0,True,303,"먹은것: 사케도로동,우니파스타, 가라아게와 감자튀김, 애플진저에일 사케도로동: 연어질이 괜찮지만 하나가 살짝 비렸습니다 우니파스타: 적당히 맛있지만 우니를 좋아하신다면 비벼주겠다고 하는 것을 거절하시늑 게 좋겠네요 가라아게와 감자튀김: 존 맛입니다 맘스터치 감자튀김맛에 맛있는 가라아게 애플진저에일: 맛나요~~ 총평: 그저 그런 맛인데 왜 사람들이 그렇게 많이 대기하는지는 모르겠습니다 평가 기준 5점: 무조건 다시 감, 4점: 가끔씩 그 메뉴 먹고 싶을 때 감, 3점: 돈을 버리진 않았음, 2: 맛이 왜 이렇담 1: 저의 희생을 알아주세요",골드 레벨
멋져멋져스폰지밥,84,2021-10-23,1.0,True,104,돈테키정식(16 0)이랑 사케동(13.0) 먹었는데 돈테키에서 돼지누린내남.. 사케동도 내기준 별로 였음 연어 비린 것 같음 룸 추가비용 없이 예약할 수 있었던건 좋았으나 난 다신 안갈듯,실버 레벨
안영,17,2021-10-22,3.0,True,130,"저번에 너무 맛있어서 다시 갔는데 저녁오픈때 다섯번째팀인가?로 들어갔음에도 불구하고 우니가 다 떨어져서 못먹었고요, 연어가 오늘 너무너무..비렸습니다... ㅠ 먹은지 다섯시간 되가는데 아직도 비린맛 올라와요 고등어 먹는줄 알았어요..",실버 레벨
뽀이,81,2021-10-05,4.0,True,31,먹을만함 음식 빨리나옴 웨이팅 별로 안긺 사람 너무 많음,실버 레벨
감자,75,2021-08-16,3.0,False,192,"부카케 ☆☆☆☆ 사케도로동 ☆☆☆☆ 사케동 ☆☆☆☆ 하이볼 ☆☆ 솔직히 이 프랜차이즈는 하이볼이 메인이고 나머지는 안주라고 생각합니다. 무더운날 하이볼을 시켰는데 음식을 반쯤 먹어서야 나와 서빙 순서에 대한 아쉬움이 있었습니다. 늦게 나온 하이볼은 위스키 맛이 너무 강했고, 머리가 아팠습니다 ㅠㅠ 레시피의 표준화가 잘 이루어져야 할 듯 합니다",실버 레벨
vely,6,2021-08-16,4.0,True,79,맛있고 웨이팅 있어요. 호호식당이라 믿고 와서 잘 먹고 갑니다. 다만 하이볼이 다른 호호식당에 비해 위스키 비중이 큰 건지 조금 쓴 것 같아요,브론즈 레벨
송영민,25,2021-08-08,4.0,True,78,"11시에 열리자마자 갔는데 웨이팅 할뻔했습니다 튀김이 아주 맛있네요, 연어스테이크도 좋았습니다 부모님 모시고 갔었고 두분 다 만족하셨네요ㅎㅎ",실버 레벨
맛집찾는 코알라,253,2021-08-01,5.0,False,59,웨이팅 20-30분 정도는 기다려서도 먹을 만한 곳입니다 직원분들 친절하고 음식 맛도 좋고 양도 넉넉합니다,골드 레벨
냥이,108,2021-07-19,5.0,False,229,혜화 4년살았는데 여기가 근처에서 젤 맛있음 배달시켜먹어도 존맛 ㅠ 평일 조금 이른시간에 가면 웨이팅 거의 안하고 먹을수있음 모든 메뉴 다 맛있고 특히 돈테키정식이 젤 맛있는듯 요즘 호호식당 근처에 다른 비슷한 컨셉의 식당들 많이 생긴것같던데 다 가봐도 여기 반의반도 못미침.. 나름 먹는거에 까다롭다고 생각하고 자주 가는 식당도 거의 없는데 친구나 가족 등등 놀러오면 무조건 여기데려갈정도면 말다했지않을까??,실버 레벨
쩝쩝박사,55,2021-07-08,4.0,True,17,연어사케동 비린맛 안나고 맛있음,실버 레벨
늉늉,317,2021-07-01,1.0,False,123,4시반부터 줄스고 5시 1차 못들어가도 계속 기다리는분들 많던데.. 맛이 없는건 아니지만 맛평범 분위기평범인데 웨이팅쩔어서 굳이? 대학로에 먹을데 드럽게멊나보다는 생각밖에는.. 글고 폰충전기 드려도 폰충전안해주심.. 각박,골드 레벨
소영,3,2021-06-25,3.0,False,38,가격 대비 양 적음. 맛 평균치. 기다릴정도는 아님. 인스타용 맛집.,브론즈 레벨
또또,622,2021-06-19,3.0,False,12,웨이팅 ㅠㅠ 맛은 쏘쏘,골드 레벨
L. Dragon,348,2021-06-18,3.0,True,7,인스타용 맛집,골드 레벨
FSM 신도,111,2021-10-31,3.0,True,65,"먹은것: 사케도로동,우니파스타, 가라아게와 감자튀김, 애플진저에일 사케도로동: 연어질이 괜찮지만 하나가 살짝 비...",골드 레벨
멋져멋져스폰지밥,84,2021-10-23,1.0,True,43,돈테키정식(16 0)이랑 사케동(13.0) 먹었는데 돈테키에서 돼지누린내...,실버 레벨
감자,75,2021-08-16,3.0,False,46,부카케 ☆☆☆☆ 사케도로동 ☆☆☆☆ 사케동 ☆☆☆☆ 하이볼 ☆☆ 솔직히 이 프...,실버 레벨
냥이,108,2021-07-19,5.0,False,80,혜화 4년살았는데 여기가 근처에서 젤 맛있음 배달시켜먹어도 존맛 ㅠ 평일 조금 이른시간에 가면 웨이팅 거의 안하고 먹을수있음 모든 메뉴 다...,실버 레벨
음,44,2021-05-23,3.0,False,44,"음식, 공간이 깔끔하고 정갈해요. 1시간 넘는 웨이팅을 감수할 정도는 아닌듯ㅜㅜ",실버 레벨
룰라,34,2021-05-18,4.0,False,53,맛있지만 계속 찾아서 먹다보면 약간 물려요..ㅎ 그래도 한두번쯤은 가볼만한 곳?! 분위기도 최고,실버 레벨
@--)--,39,2021-04-24,1.0,False,110,가격이 1000-2000씩 다 올랐구요 예전만큼 맛있는지도 모르겠어요.. 분위기.. 도 솔직히 모르겠습니다 엄청 시끄럽게 울리는 타입의 구조라.. 방 예약하시는거 아니면 소개팅할만한 자리도 아니에요,실버 레벨
고구마,2,2021-03-25,1.0,False,36,웨이팅 시스템 융통성 없음 가격에 비해 양도 너무 적어서 10분컷,브론즈 레벨
눈이띠용,15,2021-03-23,2.0,False,39,사케동이 유명하다해서 먹었는데.........쏘쏘 와사비 먹다 울었어요,실버 레벨
도뭉치,2,2021-03-18,1.0,False,61,웨이팅이 너무 융통성이 없고 가격대비 양이 적어요....보리차는 맛있습니다. 역시 유명한 맛집은 안가는게 정답,브론즈 레벨
하루하루,94,2021-03-18,4.0,True,55,분위기가 음식값 맛은 쏘소 양은 사악. 사이드 주문 추가 필수 계산대 가기전에 배꺼짐 분위기는 좋음,실버 레벨
밍구,18,2021-02-05,4.0,True,31,맨날 가면 연어뱃살덮밥만 먹어요. 이게 제일 맛있습니당.,실버 레벨
🙌(3점=보통),452,2021-01-24,1.0,False,143,여기서 밥먹고 바로 집에 왔는데 오자마자 화장실 세번감 배탈났어요 샤브샤브?같은 메뉴 먹었는데(이름까먹음) 날계란이 문제인지 고기가 문제였나 모르겠네요. 웨이팅은 길지만 분위기가 좋고 맛도 그냥저냥 만족했는데 배가 너무 아프네요. 일행도 속쓰리다고 합니다.,골드 레벨
msk,39,2021-01-16,4.0,False,53,돈테키랑 샤브샤브 비슷한거 먹었는데 둘 다 만족 분위기도 좋고 하지만 양이 좀 많이 적은게 단점,실버 레벨
고경웅,7,2021-01-13,1.0,False,26,아무리 점심시간이지만 사케동이 30분 걸리네요.,브론즈 레벨
맛집에 도른자,1069,2020-11-28,4.0,True,47,맛있어요! 스키야키추천해요! 근데 전체적으로 양은 적어서 그건 참고 하셔야될것같습니다,블루 레벨
옹,91,2020-10-30,5.0,True,159,사케동 맛있고 난리야 연어 살 완전 부드러움 가게 인테리어는 한옥집 개조한 딱 가정식집 느낌 짹짹 새소리 날거같은 비주얼이라고 생각하고 있던 와중 웨이팅하는곳에 진짜 참새 들어옴(귀여워) 오픈시간에 가도 웨이팅 있음 사람 많은 시간대에는 마음의 준비를 아주 단단히 하시고 가시면 됩니다,실버 레벨
맛없불친화소,138,2020-10-14,3.0,False,39,그냥 저냥 군더더기 없는 일식집이에요 웨이팅 있긴 한데 나쁘지 않아요~,골드 레벨
@--)--,39,2021-04-24,1.0,False,77,가격이 1000-2000씩 다 올랐구요 예전만큼 맛있는지도 모르겠어요.. 분위기.. 도 솔직히 모르겠습니다 엄청 시끄럽게 울리는 타입...,실버 레벨
하루하루,94,2021-03-18,4.0,True,22,분위기가 음식값 맛은 쏘소 양은 사...,실버 레벨
🙌(3점=보통),452,2021-01-24,1.0,False,81,여기서 밥먹고 바로 집에 왔는데 오자마자 화장실 세번감 배탈났어요 샤브샤브?같은 메뉴 먹었는데(이름까먹음) 날계란이 문제인지 고기가 문제였나...,골드 레벨
옹,91,2020-10-30,5.0,True,64,사케동 맛있고 난리야 연어 살 완전 부드러움 가게 인테리어는 한옥집 개조한 딱 가정식집 느낌 짹짹 새소리 날거...,실버 레벨
qwerty,219,2020-10-06,3.0,False,30,사람 미어터져서 오래 기다리거나 아예 못먹을 수 있음.,골드 레벨
김태훈,36,2020-10-05,3.0,False,42,맛은 괜찮은데 가격+웨이팅까지 하면서 먹을 정돈 아님. 사진은 이쁘게 나와요,실버 레벨
루터넌킴,22,2020-09-25,3.0,False,55,사케동 기준. 맛은 5 분위기 5 가성비 1 다 먹고 나서도 배고푼 느낌 ㅋ 데이트 코스로는 좋음.,실버 레벨
Kr,41,2020-09-01,2.0,True,291,"사케동을 먹었는데. 연어 몸통 중에서 퍽퍽살 위주로만 플레이팅을 해준다. 지방질이 있는 부위도 좀 섞거나 그게 아니면 퍽퍽살의 부드러움을 끌어올리기 위한 노력을 좀 하던가. 그리고 아래 밥도, 사실 밥양과 소스의 어우러짐이 너---무 아쉽다 이 평은 가격대 성능비를 고려하는 것인데, 진짜 맛있는걸 먹으려면 이집은 비추한다. 특히 사케동은 별로.. 계산할때, 직원이 괜찮냐길래 팩폭할까 조금 고민하다가 그냥 잘먹었다고 했는데. 아무튼, 이집. 사케동 맛집은 아니다. 이집서 계산할 돈이면 더 좋은 사케동을 먹을 수 있다.",실버 레벨
나무,93,2020-08-24,5.0,False,44,공간도 너무 예쁘고 맛도 좋았어요. 친절한 안내에 기분 좋게 식사 하고 갑니다.,실버 레벨
:),11,2020-08-02,4.0,False,85,사케동 너무 맛있었어요. 근데 양이 많이 작아요ㅠ 평일 저녁에도 웨이팅이 너무 많아서 기다리다 지치는 느낌.. 사람 없을때 한두번 먹기 좋은 것 같아요.,브론즈 레벨
직설맨,292,2020-07-31,3.0,False,56,평범한맛 적은양 절대 20분이상 기다려서 먹을곳은 아님 그냥 줄 없거나 짧으면 한번 가볼만 하다 쏘쏘,골드 레벨
KaramHui,10,2020-07-24,4.0,True,41,음식도 정갈하게 맛있고 툇마루에서 대기하면서 옛기억을 불러와서 정겨웠습니다,실버 레벨
오연재,9,2020-07-14,5.0,False,3,존맛탱,브론즈 레벨
홍홍,144,2020-07-13,2.0,False,48,그냥 그랬음 예전에 한참 핫할때 웨이팅 엄~청 하고 들어갔지만 다시 하고 먹으라면 네버,골드 레벨
리후,79,2020-07-09,1.0,False,61,여긴 그냥 분위기 느끼러 가는데지 맛집으로 가는데가 아님 가성비 적으로 보면 최악이져 비싸고 맛은 그저 그렇고,실버 레벨
.,44,2020-06-20,1.0,False,12,서비스가 정말 별로에요,실버 레벨
봄봄,11,2020-06-08,5.0,True,53,"5시 오픈 맞춰 기다렸다가 들어갔어요! 일본가정식인데, 깔끔하고 맛있어요! 한번쯤 가볼만한 집~",실버 레벨
김,2,2020-06-06,4.0,True,68,4점입니다. 맛있음. 가격대는 높음 줄 안서면 5점 줄 서면 4점 직원 친절 ( 오전 11시30분 기준) 재방문의사 있음.,브론즈 레벨
Hotel Juliette,3,2020-06-05,5.0,False,45,"분위기, 맛 다 좋아요. 일본보다 맛있어요. 포장 안되고, 공기밥은 추가해야해요.",브론즈 레벨
ㅇㅅㅇ,107,2020-05-24,3.0,False,16,카이센동먹었음 가격대비 걍그럼,실버 레벨
군옥수수,81,2020-05-01,4.0,False,18,친구들 놀러오면 자주데려가는곳 ㅎ,실버 레벨
만두,269,2020-04-07,4.0,False,5,연어 크으,골드 레벨
루터넌킴,22,2020-09-25,3.0,False,21,사케동 기준. 맛은 5 분위기 5...,실버 레벨
Kr,41,2020-09-01,2.0,True,48,사케동을 먹었는데. 연어 몸통 중에서 퍽퍽살 위주로만 플레이팅을 해준다. 지방질이...,실버 레벨
리후,79,2020-07-09,1.0,False,36,여긴 그냥 분위기 느끼러 가는데지 맛집으로 가는데가 아님 가...,실버 레벨
김,2,2020-06-06,4.0,True,33,4점입니다. 맛있음. 가격대는 높음 줄 안서면 5점 줄...,브론즈 레벨
김효진,39,2020-03-29,5.0,True,14,연어는 이제 여기로 와야징,실버 레벨
Ma,371,2020-03-08,2.0,False,22,줄서서먹기엔 맛보다는 감성만 가득한 느낌,골드 레벨
marumongi,97,2020-03-03,4.0,True,65,눈 오는 날 가서 그런지 분위기가 너무 좋았어요. 맛이 최고는 아니지만 고즈넉한 분위가 하나로도 좋은 평가 드립니다.,골드 레벨
먐먀미아핫세,75,2020-02-09,4.0,False,91,연어 좋은거 쓰는건 맞는것같은데 가격 생각하면 그정도 맛 내야함. 굳이 이 웨이팅을 감수하면서 먹을 필요까지는 없다고 생각됨 (30분이내면 감 /1시간이상이면안감),실버 레벨
jackk,11,2020-01-21,4.0,False,72,돈테키추천받았지만 나에겐 돼지냄세가 많이났음. 전반적으로 깔끔하고 맛있었지만 저녁시간대 1시간의 웨이팅.. 이 맛있게 만든지도..,브론즈 레벨
밥밥,205,2020-01-11,4.0,True,83,맛있게 잘먹었습니다. 다음엔 여러명이가서 잔뜩시켜먹고 싶어요. 보기엔 양이 작아보였는데 먹고나니 배가 가득 기본으로 나오는 미소국도 너무 맛있었어요.,골드 레벨
제주 개박사,209,2020-01-09,3.0,True,24,비싸고 맛도 그냥 그렇지만 갬성으로 먹습니다,블루 레벨
gg,12,2019-11-28,1.0,False,64,추운데 자리가 났는데도 일행이 다올때까지 못들어간다고 해서 밖에서 계속기다렸다. 빈자리가 있는데도 하염없이 기다릴각,브론즈 레벨
애용,60,2019-11-10,3.0,False,25,"맛있고 분위기도 좋은데 가성비가 별로예요,,,",실버 레벨
에세,351,2019-10-10,1.0,True,106,"싸가지없는데, 맛도 없고, 양도 적고, 비싼데다, 별실 식사시간 제한은 50분이군요. 자세한 내용은 그림으로 첨부하오니, 궁금하신 분들은 읽어주시길 바랍니다. 이런 최악의 식당은 처음입니다.",골드 레벨
ssss,31,2019-08-26,5.0,True,13,맛있어요 ㅎㅎ 또올거예요,실버 레벨
.,90,2019-08-09,2.0,False,157,이 근처 잘 찾으면 호호식당보다 더 싸고 분위기좋고 맛있는 식당 많습니다... 어떤날은 한시간씩 기다려서 들어가던데 비싸고 양도 적고 평범한 음식이라...ㅠ여러분들의 시간은 소중하니까 다른곳 가셔요... (특히 양이 너무 적어서 1인 1메뉴하면 간에 기별도 안갑니다...ㅋㅋㅋㅋㅋ),실버 레벨
하라가헷타,81,2019-07-05,5.0,True,38,"우니파스타, 연어스테이크 먹었었는데 맛있었어요~! 다른메뉴도 궁금..",실버 레벨
인왕산금빛,70,2019-05-09,1.0,False,256,1점도 아깝습니다 정말 불친절합니다 문앞에서 공사중이라 흙먼지 심해서 안에들어가서 웨이팅 할수있는지 물어도 아무생각없이 안된다는... 40분 기다리다 들어가서 식사하는데.. 종업원들이 테이블 중간에 서 있는 이유가 친절한 서빙이 아니라.. 다른손님들 기다리고 있으니 빨리 나가라는 의미였습니다 40분간 공사장 먼지까지 뒤집어 쓰고 들어가서 식사할때는 빨리 먹고 나가라니... 아무리 맛집이라 해도 불친절은 식사맛까지 없애주는 효과입니다 다시는 가지 않겠습니다,실버 레벨
Nylon,59,2019-04-06,1.0,False,52,줄서서 먹을 맛은 절대 아님 맛있는 음식이 아니라 이쁜 사진과 음식 사진을 찍고 싶다면 가세요,실버 레벨
밥밥,205,2020-01-11,4.0,True,59,맛있게 잘먹었습니다. 다음엔 여러명이가서 잔뜩시켜먹고 싶어요. 보기엔 양이 작아보였는데 먹고나니 배가...,골드 레벨
.,90,2019-08-09,2.0,False,88,이 근처 잘 찾으면 호호식당보다 더 싸고 분위기좋고 맛있는 식당 많습니다... 어떤날은 한시간씩 기다려서 들어가던데 비싸고 양도 적고 평범한 음식이라.....,실버 레벨
인왕산금빛,70,2019-05-09,1.0,False,72,1점도 아깝습니다 정말 불친절합니다 문앞에서 공사중이라 흙먼지 심해서 안에들어가서 웨이팅 할수있는지 물어도 아무생각없이 안된...,실버 레벨
파스타밥돌이,338,2019-03-31,1.0,False,65,가격대비 별로고 웨이팅해서 가면 후회할 맛. 맛은 특별한거 하나 없음.분위기는 괜찮은데 난방이 잘되지 않는 것 같다.,골드 레벨
gooooooood,439,2019-03-24,3.0,False,3,평범~,골드 레벨
SU,35,2019-03-13,1.0,False,22,줄서서 먹을 맛이 아닌데... 시간아깝다,실버 레벨
식빵맨,31,2019-02-10,4.0,False,10,규동에 필스너우르켈,실버 레벨
츄,389,2019-01-25,5.0,True,70,먹을때마다 웨이팅 없이 먹어서 꿀맛. 줄을 왜그렇게까지 서는지는 모르겠음ㅋㅋㅋㅋ 그정도 줄서면 맛있다고 생각했을지 모르겠어요.,블루 레벨
cj,5,2019-01-21,3.0,False,56,대기열 난로 너무 좋았음 삼십분동안 전혀츱지 않았지만 제일 중요한 음식의 질또한 좋았으나 양이 좀..,브론즈 레벨
로드마스터,55,2019-01-08,2.0,True,30,맛있지도 맛없지도 않은 걍 그러그런 직원은 친절했어요.,실버 레벨
