계정 ID,계정의 리뷰 수,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
영양밥,29,2024-12-31,2.0,False,114,"입장안내를 조금만 친절하게 해줬다면 좋을 것 같고, 연어사케동 맛있었고 생선가츠 괜찮았지만, 명란파스타 한입먹고 일행들과 이거 밥반찬이네 짭짤해서 좋네 이랬는데 먹을수록 너무 짜서 절반먹고 아무도 손 안댐",실버 레벨
이푸루,3,2024-12-12,5.0,True,286,"연어덮밥이 너무너무 먹고싶어서 친구들하고 찾아왔는데, 직원분들 모두 정말 친절하시고 웨이팅 기다리는 동안 메뉴판 주셔서 빨리 주문하고 빨리 먹었어요!!!🥰 전 사케동 먹었는데 연어 살이 두툼하고 맛있었어요😋 양도 혼자 먹기에 딱 적당했고요! 장국도 다 먹으면 리필해주시고.. 레몬콜라랑 같이 먹으니까 레전드 개꿀맛😎❤️‍🔥❤️‍🔥 다음에 또 오고싶어요! 친구들이 다른 메뉴들도 다 맛있었다고 하더라구요!! ((오므라이스도 맛있대요🥰🥰 혜화동 처음 와보는데 덕분에 기분좋고 행복한 추억 만들어가요🥹💖 번창하세요✨️",브론즈 레벨
완그릇,38,2024-11-30,3.0,True,118,무난하게 맛있으나 카츠는 기름기를 덜 빼서 좀 축축하고 느끼.. 연어 정말 많이 먹어보고 좋아하는데 비리다고 느꼈음.. 그리고 무엇보다 웨이팅 관리가 잘 안 되는데 어리바리.. 또 가고싶지는 않음 혜화는 맥도날드,실버 레벨
맛집탐방고고,192,2024-11-29,3.0,False,19,양이 너무 적어서 배가 안찼음...,골드 레벨
찌개군주,191,2024-11-20,5.0,False,7,먹을만합니다.,골드 레벨
솥밥,82,2024-10-31,4.0,False,1,.,실버 레벨
HJ,29,2024-10-03,4.0,False,5,깔끔합니다,실버 레벨
키티,564,2024-10-01,3.0,True,45,"위생이 별로인 느낌 ㅜ 히레카츠는 무난, 사케동은 별로 웨이팅 할만한 집은 아닌듯",골드 레벨
맛집찾아삼만리,250,2024-09-20,4.0,True,160,운이 좋게 웨이팅 없이 입장했어요 방으로 안내해주셔서 분위기 좋게 식사했어요 스키야키는 전체적으로 단맛이 강했지만 나쁘지 않았어요! 다만 양이 좀 적은듯했습니다 사케동은 별로 였어요.(비린 느낌) 그리고 호출 벨 눌러도 바로 오진 않으시고 한참 뒤에 오시더라구요! 바빠서 그러신듯 합니다,골드 레벨
놀라는 톰,203,2024-07-28,2.0,False,63,줄이 길다고 맛집은 아닙니다. 분위기 값으로 비싼 돈 내고 20분 이상 기다려 가며 맛 없는 음식 드시지 마세요.,골드 레벨
Viola,604,2024-07-01,4.0,True,33,무난하니 맛있었어요. 한옥이라 데이트 코스로 좋을 것 같아요,블루 레벨
김정안,16,2024-06-24,1.0,False,47,알바 너무 불친절. 연어동에서 연어 비린내 남. 컵에서 보리차 쉰내남. 이제 안 갈듯,실버 레벨
D,7,2025-06-17,4.0,False,91,"한옥스타일에 맛있는 일본가정식집인데ㄹㅇ맛있는거 많고 메뉴구성짱짱함 손바닥만한 그릇에 밥으로 채워져있는것이 아닌 주재료(연어,고기 등)가 많이 들어가있어서그런지...",실버 레벨
gyu,41,2025-03-10,3.0,True,50,"메뉴- 우나기동22.0,오므라이스15.0 만족도★★★ 분위기★★★★ 재방문★★★ 후기...",실버 레벨
승돌,25,2025-01-27,2.0,True,49,맛 솔직히 그저그럼 / 음식 양 적음 / 예약하고 바로 들어가서 좋았음 분위기는 좋...,실버 레벨
영양밥,29,2024-12-31,2.0,False,65,"입장안내를 조금만 친절하게 해줬다면 좋을 것 같고, 연어사케동 맛있었고 생선가츠 괜찮았지만, 명란파스타 한입먹고...",실버 레벨
이푸루,3,2024-12-12,5.0,True,90,"연어덮밥이 너무너무 먹고싶어서 친구들하고 찾아왔는데, 직원분들 모두 정말 친절하시고 웨이팅 기다리는 동안 메뉴판 주셔서 빨리 주문하고 빨리 먹었어요!!!🥰 ...",브론즈 레벨
완그릇,38,2024-11-30,3.0,True,83,무난하게 맛있으나 카츠는 기름기를 덜 빼서 좀 축축하고 느끼.. 연어 정말 많이 먹어보고 좋아하는데 비리다고 느꼈음.. 그리고 무엇보다 웨이팅 ...,실버 레벨
맛집찾아삼만리,250,2024-09-20,4.0,True,46,운이 좋게 웨이팅 없이 입장했어요 방으로 안내해주셔서 분위기 좋게 식사했어요 ...,골드 레벨
김하민,88,2024-06-05,2.0,False,190,한옥풍의 인테리어가 좋음. 웨이팅 겁나 김. 40분. 메뉴가 엄청 많은데 장르도 돼지스테이크부터 붓카게우동까지 중구난방이라 큐레이션의 측면에서 쎄한 느낌이 들었고 음식은 역시나 그 느낌 그대로였음. 컨셉 없이 허겁지겁 생긴 공간같은 느낌... 메뉴따라 퀄리티가 다른 것일지도 모르니 정말 잘 하는 것들만 남기고 메뉴를 축소한다면 개선될수도.,실버 레벨
.,14,2024-04-09,5.0,False,23,음식도 맛있었고 직원 분들이 친절하셨어요@,실버 레벨
찐팩폭,990,2024-02-26,4.0,True,134,장어덮밥 맛있음 시그니처는 연어덮밥 등이라고 함 웨이팅하는데 의자에 앉으라고 강요함 앉든서있든은 내 자유아님? 서있으면 어때서 강요질인지 모르겠음 ----------------------------------------- 소고기 규동도 맛남,블루 레벨
멧돌감자,257,2024-02-07,1.0,False,39,알바가 불친절해요 눈오는데 대기 벤치못앉게하고 밖에 나가서 기다려라고함,골드 레벨
