store_name,review_count,final_sentiment_mean,trust_adjusted_sentiment_mean,knu_sentiment_mean,custom_sentiment_mean,knu_matched_total,custom_matched_total,removed_overlap_total,food_score_mean,price_score_mean,service_score_mean,atmosphere_score_mean,trust_weight_mean,final_score_w03_mean,final_score_w05_mean,final_score_w10_mean
홍대 육지,200,1.1280823998917748,1.1280823998917748,0.7218864673520923,0.8123918650793651,422,541,541,1.1364166666666666,0.0,0.5116666666666666,0.34924999999999995,1.0,0.9656040268759019,1.1280823998917748,1.5342783324314575
뼈탄집 성수역점,393,0.9621218114300175,0.9621218114300175,0.5934052014920336,0.7374332198759679,742,991,957,1.0540364110020597,0.0,0.43320610687022904,0.3107082273112807,1.0,0.8146351674548239,0.9621218114300175,1.3308384213680016
금금 성수점,200,0.892653020937396,0.892653020937396,0.5349431995088245,0.7154196428571429,350,431,383,1.088875,0.0,0.1425,0.2395,1.0,0.7495690923659672,0.892653020937396,1.2503628423659674
보끔당 성수점,226,0.8655116589408625,0.8655116589408625,0.5460053202697008,0.6390126773423233,268,423,368,0.9656710914454277,0.01327433628318584,0.17123893805309737,0.2127581120943953,1.0,0.7377091234723978,0.8655116589408625,1.185017997612024
이태리국시 성수,400,0.8437532345779221,0.8437532345779221,0.4976352782287157,0.6922359126984127,860,892,1043,1.0325833333333334,0.0025,0.143125,0.3847291666666667,1.0,0.7053060520382395,0.8437532345779221,1.1898711909271285
락희옥 마포본점,239,0.7807449260990056,0.7807449260990056,0.4708051970693184,0.6198794580593743,446,487,533,0.8917712691771269,0.008368200836820083,0.25648535564853553,0.18249651324965133,1.0,0.6567690344871306,0.7807449260990056,1.0906846551286926
쭌곱창,368,0.7676013568255415,0.7676013568255415,0.4336022422625684,0.6679982291259465,437,737,666,1.0128849637681159,0.021739130434782608,0.2505434782608696,0.23360830745341615,1.0,0.6340017110003523,0.7676013568255415,1.101600471388515
조선시대,200,0.7576752029220779,0.7576752029220779,0.4034594291125541,0.7084315476190476,389,421,455,1.053,0.02,0.1575,0.3259375,1.0,0.6159888933982685,0.7576752029220779,1.1118909767316019
육산장 홍대본점,400,0.6763820337301587,0.6763820337301587,0.3333031646825397,0.6861577380952382,563,812,855,0.9958125,0.0025,0.119375,0.3817916666666667,1.0,0.5391504861111112,0.6763820337301587,1.0194609027777777
장인닭갈비 홍대점,362,0.6747842289309831,0.6747842289309831,0.4036830932649303,0.5422022713321056,538,582,499,0.8223559589581688,0.011049723756906077,0.13232044198895027,0.21604511970534068,1.0,0.5663437746645619,0.6747842289309831,0.9458853645970359
홍대 조선시대,200,0.6648122970779221,0.6648122970779221,0.32950293560606064,0.6706187229437229,267,365,405,1.0253333333333332,0.025,0.1175,0.30375,1.0,0.5306885524891775,0.6648122970779221,1.0001216585497834
능동미나리 성수지점,200,0.65258590007215,0.65258590007215,0.38077022546897543,0.5436313492063491,408,367,304,0.8202083333333333,0.0,0.12675,0.2608416666666667,1.0,0.5438596302308802,0.65258590007215,0.9244015746753247
태양곱창 성수점,200,0.6500008928571428,0.6500008928571428,0.3259026785714286,0.6481964285714286,185,338,263,1.0387083333333333,0.005,0.1225,0.19083333333333333,1.0,0.5203616071428572,0.6500008928571428,0.9740991071428572
할머니의 레시피,88,0.638895266665153,0.638895266665153,0.39488823203311835,0.48801406926406926,175,164,153,0.6570075757575758,0.056818181818181816,0.23011363636363635,0.16619318181818182,1.0,0.5412924528123392,0.638895266665153,0.8829023012971877
황금콩밭,175,0.589539640548527,0.589539640548527,0.4015487108433116,0.37598185941043083,390,236,286,0.6134285714285714,0.005714285714285714,0.08238095238095237,0.11785714285714285,1.0,0.514343268666441,0.589539640548527,0.7775305702537425
육지,200,0.5825035386141636,0.5825035386141636,0.26627228861416363,0.6324625,247,365,377,0.9589583333333332,0.01,0.3611666666666667,0.1375,1.0,0.45601103861416364,0.5825035386141636,0.8987347886141636
