platform,store_name,account_id,account_review_count,visit_date,visit_count,verification_method,review_text,review_length,has_photo,rating,account_avg_rating,reviewer_level,review_original,review_sentiment,has_emo_pos,has_emo_neg,has_laugh,has_cry,has_exclamation,has_question,has_number,original_char_len,knu_sentiment_score,knu_total_polarity,knu_matched_count,knu_matched_terms,custom_sentiment_score,custom_total_polarity,custom_matched_count,custom_matched_terms,selected_match_count,raw_candidate_count,removed_overlap_count,food_score_raw,food_matched_count,food_score_norm,price_score_raw,price_matched_count,price_score_norm,service_score_raw,service_matched_count,service_score_norm,atmosphere_score_raw,atmosphere_matched_count,atmosphere_score_norm,final_score_w03,final_score_w05,final_score_w10,final_sentiment_score,final_sentiment_label,zero_reason,trust_weight_available,trust_weight,trust_level,trust_adjusted_sentiment_score,custom_matched_terms_readable,knu_matched_terms_readable
naver,각시보쌈,아름다운2048,867.0,2025.10.29,1번째 방문,영수증,,0,True,,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,,0.0,0.0,0,,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,neutral_mixed,no_dictionary_match,0,1.0,not_available,0.0,,
naver,각시보쌈,vvip83,461.0,2025.10.25,3번째 방문,영수증,,0,True,,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,,0.0,0.0,0,,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,neutral_mixed,no_dictionary_match,0,1.0,not_available,0.0,,
naver,각시보쌈,ZSDEN,972.0,2025.10.18,1번째 방문,영수증,,0,True,,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,,0.0,0.0,0,,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,neutral_mixed,no_dictionary_match,0,1.0,not_available,0.0,,
naver,각시보쌈,짱구마녀,1247.0,2025.10.03,4번째 방문,영수증,늘 맛나요~,6,True,,,,늘 맛나요~,늘 맛나요,0,0,0,0,0,0,0,6,0.0,0.0,0,,0.0,0.0,0,,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,neutral_mixed,no_dictionary_match,0,1.0,not_available,0.0,,
naver,각시보쌈,vvip83,461.0,2025.09.27,2번째 방문,영수증,,0,True,,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,,0.0,0.0,0,,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,neutral_mixed,no_dictionary_match,0,1.0,not_available,0.0,,
naver,각시보쌈,바나나맛딸기,227.0,2025.09.27,1번째 방문,영수증,업장에서 먹는 건 대기가 길다고 해서 포장해왔습니다. 대기가 많은 이유가 있네요. 보쌈 많이 먹어봤는데 매우 훌륭해요.,66,True,,,,업장에서 먹는 건 대기가 길다고 해서 포장해왔습니다. 대기가 많은 이유가 있네요. 보쌈 많이 먹어봤는데 매우 훌륭해요.,업장에서 먹는 건 대기가 길다고 해서 포장해왔습니다 대기가 많은 이유가 있네요 보쌈 많이 먹어봤는데 매우 훌륭해요,0,0,0,0,0,0,0,66,0.0,0.0,0,,0.0,0.0,0,,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,neutral_mixed,no_dictionary_match,0,1.0,not_available,0.0,,
naver,각시보쌈,백수인,1607.0,2025.09.24,12번째 방문,영수증,서울 본청에서 세무조사 사후관리가 또 나왔다 음식이 목구녕으로 안 넘어간다. 이러면 누가 더 발악해서 돈 벌려고 하겠는가. 왜 일을 하나..,78,True,,,,서울 본청에서 세무조사 사후관리가 또 나왔다 음식이 목구녕으로 안 넘어간다. 이러면 누가 더 발악해서 돈 벌려고 하겠는가. 왜 일을 하나..,서울 본청에서 세무조사 사후관리가 또 나왔다 음식이 목구녕으로 안 넘어간다 이러면 누가 더 발악해서 돈 벌려고 하겠는가 왜 일을 하나,0,0,0,0,0,0,0,78,0.0,0.0,0,,0.0,0.0,0,,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,neutral_mixed,no_dictionary_match,0,1.0,not_available,0.0,,
naver,각시보쌈,퐁그리,1295.0,2025.09.18,4번째 방문,영수증,,0,True,,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,,0.0,0.0,0,,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,neutral_mixed,no_dictionary_match,0,1.0,not_available,0.0,,
naver,각시보쌈,우재킹,225.0,2025.09.14,2번째 방문,영수증,무슨 말이 더 필요해,11,True,,,,무슨 말이 더 필요해,무슨 말이 더 필요해,0,0,0,0,0,0,0,11,0.0,0.0,0,,0.0,0.0,0,,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,neutral_mixed,no_dictionary_match,0,1.0,not_available,0.0,,
naver,각시보쌈,존헤리윙스,1460.0,2025.09.08,2번째 방문,영수증,맛나는 보쌈 체인,9,True,,,,맛나는 보쌈 체인,맛나는 보쌈 체인,0,0,0,0,0,0,0,9,0.0,0.0,0,,0.0,0.0,0,,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,neutral_mixed,no_dictionary_match,0,1.0,not_available,0.0,,
naver,각시보쌈,엘리2239,1707.0,2025.09.07,1번째 방문,영수증,,0,True,,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,,0.0,0.0,0,,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,neutral_mixed,no_dictionary_match,0,1.0,not_available,0.0,,
naver,각시보쌈,피아노 치는 행인,4420.0,2025.09.07,1번째 방문,영수증,,0,True,,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0,,0.0,0.0,0,,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,neutral_mixed,no_dictionary_match,0,1.0,not_available,0.0,,
naver,각시보쌈,우주3713,519.0,2025.08.03,3번째 방문,영수증,반반보쌈 중 전화로 포장 예약 했어요 15분 걸렸습니다^^,32,True,,,,반반보쌈 중 전화로 포장 예약 했어요 15분 걸렸습니다^^,반반보쌈 중 전화로 포장 예약 했어요 15분 걸렸습니다,0,0,0,0,0,0,1,32,0.0,0.0,0,,0.0,0.0,0,,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,neutral_mixed,no_dictionary_match,0,1.0,not_available,0.0,,
naver,각시보쌈,백수인,1607.0,2025.07.18,10번째 방문,영수증,1.리뷰 회수 상관없이 지금까지 대략 20번 정도 온 듯합니다. 2.예전과 달리 어느 순간부터 항정 외 잡 부위 쓰기 시작함,69,True,,,,1.리뷰 회수 상관없이 지금까지 대략 20번 정도 온 듯합니다. 2.예전과 달리 어느 순간부터 항정 외 잡 부위 쓰기 시작함,1 리뷰 회수 상관없이 지금까지 대략 20번 정도 온 듯합니다 2 예전과 달리 어느 순간부터 항정 외 잡 부위 쓰기 시작함,0,0,0,0,0,0,1,69,0.0,0.0,0,,0.0,0.0,0,,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,neutral_mixed,no_dictionary_match,0,1.0,not_available,0.0,,
