dataset,accuracy,precision_real_1,recall_real_1,f1_real_1,precision_fake_0,recall_fake_0,f1_fake_0,wrong_cases,total,tn_fake_correct,fp_fake_to_real,fn_real_to_fake,tp_real_correct
TRAIN,0.7539840637450199,0.7192342752962625,0.8092307692307692,0.7615830115830116,0.7958287596048299,0.7018393030009681,0.7458847736625515,494,2008,725,308,186,789
TEST,0.7370517928286853,0.7058823529411765,0.7868852459016393,0.7441860465116279,0.7739130434782608,0.689922480620155,0.7295081967213115,132,502,178,80,52,192
