feature,importance
review_length,0.3560708598758266
menu_count,0.07482967772995323
reason_count,0.07328736630074756
account_review_count,0.07235089556541455
short_generic_review,0.04822792551666663
specific_review,0.045861005879009764
account_avg_rating,0.04518321432129613
rating,0.033708553894484516
category_count,0.03323714582996359
has_detailed_negative,0.031185383590193946
generic_count,0.028882672533057208
intensifier_count,0.02417539036780879
low_information_review,0.016384028117971842
has_photo,0.013833765073369834
visit_count,0.012422600657749675
strong_generic_praise,0.01100672224703057
account_review_count_over_50,0.009866860219714313
has_generic_praise,0.00896351135648384
account_review_count_over_100,0.008721170984839953
number_detail_count,0.008622544357874688
account_review_count_under_10,0.007642625605846582
first_visit,0.0070589346074496784
has_number_detail,0.006979220109785557
generic_without_detail,0.006432264165793846
account_review_count_under_5,0.00579254275681911
account_review_count_is_1,0.005143694261635432
revisit,0.002480304583230271
event_word_count,0.0016491194899823241
