feature,importance
review_length,0.21457315979400404
mixed_opinion_review,0.0710013502125952
menu_count,0.06697459856149632
rating,0.06042952017523962
account_avg_rating,0.06040977310500392
has_menu,0.04357936542327069
account_review_count,0.04304312624385428
sentence_count,0.037275326321303884
detailed_negative_narrative,0.03477823293430784
specific_review,0.029883346613049522
short_but_specific_food_review,0.02875272875165498
has_detailed_negative,0.02756908458373162
experience_context_count,0.021735044088260512
category_count,0.020399736921984157
short_generic_review,0.019214935537633194
generic_count,0.016808855750301475
positive_narrative,0.01248945298938192
has_photo,0.0116230966673672
multi_sentence_review,0.010592705144035467
mixed_opinion_count,0.010205899254378674
has_experience_context,0.010123826944720441
waiting_popularity_count,0.009153558636938933
sensory_detail_count,0.008006923372989692
has_mixed_opinion,0.007898749463788237
temporal_context_count,0.007770778495239948
account_review_count_under_10,0.007599755675221458
low_information_review,0.007574494300446842
account_review_count_over_50,0.007333839507016561
account_review_count_under_5,0.006910933599933373
account_review_count_over_100,0.0068402784047660705
strong_generic_praise,0.006717404132897022
popularity_only_review,0.00670546910923826
has_generic_praise,0.00665302419120708
has_waiting_popularity,0.006347390749574174
account_review_count_is_1,0.0063215619200574875
quality_detail_count,0.005766599873251936
enthusiastic_but_detailed,0.00573867454188252
has_sensory_detail,0.005385553945456726
has_temporal_context,0.00518396361522252
has_quality_detail,0.005163734233460265
number_detail_count,0.004563920759449224
temporal_experience_review,0.004506403526598866
has_number_detail,0.004125918565529325
strong_sensory_detail,0.003180663743708348
generic_without_detail,0.0018605809298906254
strong_quality_detail,0.0012266586886594782
visit_count,0.0
menu_price_listing_only,0.0
first_visit,0.0
revisit,0.0
