계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
99d****,38,2025.03.22,1번째 방문,영수증,특제차오판(=볶음밥) 맛있고 양이 많아서 좋아요. 꿔바로 튀김과 국물있는 새우탕면 조합이 좋았어요. 여자 셋이 배불리 먹었어요.,71,True
AmelieYoon,1120,2025.03.22,1번째 방문,영수증,,0,True
생각모드,1377,2025.03.15,1번째 방문,영수증,,0,True
ooomb,126,2025.02.22,1번째 방문,영수증,브레이크 끝나자마자 오픈런해서 안기다리고 들어갔습니다 !! 역시 소친친 다 너무 맛있었어요....,54,True
행복나무637,845,2025.01.31,1번째 방문,영수증,,0,True
미공개프로필,9,2025.01.27,1번째 방문,예약,"동행인이 맛집 검색을 하여 찾아들어갔습니다. 청결치 못한 행주로 테이블 닦으면 나는 뭉근한 걸레냄새, 동행인도 맡았지만 테이블세팅을 재빨리 주셨고 ,음식은 맛있겠거니하여 나가려다 참았습니다. 음식이 나왔습니다. 밥은 미지근하였고 얹어진 갈비튀김은 뜨거웠지만 역한고기 잡내로 결국 뱉었습니다. 꿔바로우는 따뜻하고 맛깔스러워보여 기대를 걸었지만 고기보다 더많은 비계덩이. 가게운영진 불러서 드셔보시게 하고싶었지만 허기지고 기운없어서 결국 밥만 떠먹고 젓가락을 놓았습니다. 아무커멘트없이 계산후 나와 웬만해선 음식을 남기지 않는 동행인과 빵집서 배채우고 갑니다. 다이어트를 계획중인데 이 가게의 비위상하고 역한 기억으로 당분간 의지박약은 없을것 같습니다. 리뷰같은거 귀찮아서 안쓰는데 빵을 끼니로 먹다가 화가나서 씁니다",399,True
고민의탐험가,2492,2025.01.24,1번째 방문,영수증,맛잇어여여,5,True
빠담빠담5555,478,2025.01.24,1번째 방문,영수증,넘 맛있어요 ㅠㅠㅠㅠㅠ 탄탄멘,16,True
Lhj8631,756,2025.01.13,1번째 방문,예약,점심특선 좋네요,8,True
리미루,960,2025.01.06,1번째 방문,영수증,느낌있는 곳이었어요,10,True
