식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
나누미떡볶이 성대본점,song8584,1259,2026.01.11,1번째 방문,영수증,쌀떡의 그 식감. 추억의 떡볶이 그 맛,21,True
나누미떡볶이 성대본점,spark3,1278,2026.01.11,1번째 방문,영수증,맛있어요,4,True
나누미떡볶이 성대본점,아보펭펭,336,2026.01.11,1번째 방문,예약,"원조 떡볶이 맛집이고 별다른수식어가 필요 없는 곳이죠 ㅎㅎ 여전히 맛있더라구요. 여긴 떡이 정말 쫄깃해서 씹는 재미가 있어요. 살짝 매콤하면서 중독적인 양념도 넘 맛있구요 ㅎㅎ 어묵퀄리티는 솔직히 보통인데, 떡볶이는 진짜 인정합니다. 정말 맛있는 떡볶이 집 중 하나에요!",151,True
나누미떡볶이 성대본점,the Insider,1839,2026.01.09,1번째 방문,영수증,"옛 추억을 회상하며 찾은 나누미떡볶이 성대본점입니다. 마지막으로 방문한 것이 언제인지 기억이 가물가물할 정도로 까마득히 오래전인 것 같아요. 조금 이른 시간의 방문이기도 했지만 학생들 방학을 해서인지 매장은 한산했습니다. 가장 기본인 떡볶이 1인분과 어묵 2꼬치 주문했습니다. 떡볶이 1인분에 5,000원은 다소 비싸게 느껴지는데, 두툼한 두께의 부산어묵 1꼬치 1,500원은 또 적당해 보이네요. 기본 김밥 1줄 5,000원은 상당히 비싼것 같구요. 매운맛은 덜하고 달달한 양념의 떡볶이는 쌀떡볶이의 부드럽고 쫀득한 식감이 상당합니다. 누구나 좋아할 그런 맛. 부산어묵(미도어묵) 자체는 어육 함량도 많게 느껴지고 좋았는데, 새로 추가해 끓이는 중이었는지 국물이 좀 싱거워 아쉬었어요. 직원분 상당히 친절.",396,True
나누미떡볶이 성대본점,2Bye3D,1210,2026.01.05,1번째 방문,포장,괜히 퀸's 픽이 아님. 포장과 홀이 나눠져있는 것부터 다름.,34,True
나누미떡볶이 성대본점,오늘의 TMI,1048,2026.01.03,2번째 방문,영수증,떡볶이 집에 튀김을 안파는곳이예요ㅋㅋ 쌀떡볶이 비싸지만 맛있긴해요~~ 오뎅은 다른 리뷰보니 맛있다고 하는데 금방금방나가서 그런지 어느정도불어야 맛있는데 그냥 평범했어요,93,True
나누미떡볶이 성대본점,jys****,1374,2026.01.02,1번째 방문,영수증,너무 맛있어요👍,8,True
나누미떡볶이 성대본점,잘먹는뿡뿡이,29,2026.01.02,1번째 방문,영수증,떡이 다했습니다. 양념은 둘째치고 이것은 쫄깃한 것도 아니요 말랑말랑한것이 쌀떡이 이정도 맛있는 집이 별로 없을것 같습니다.,69,True
나누미떡볶이 성대본점,Napoleon27,912,2025.12.30,3번째 방문,영수증,,0,True
나누미떡볶이 성대본점,초초는먹보,1787,2025.12.28,3번째 방문,영수증,"양념때깔 미친 쌀떡볶이,,,♥️♥️♥️ 물가상승률 생각하면 조금 아쉽지만 그래도 여기만한곳 없습니다",55,True
나누미떡볶이 성대본점,purple blossom,1458,2025.12.23,7번째 방문,영수증,굿!!,3,True
나누미떡볶이 성대본점,soulz,1945,2025.12.21,2번째 방문,영수증,😊,1,True
나누미떡볶이 성대본점,엄71,156,2025.12.15,1번째 방문,영수증,30년 전 처음 먹고 지금도 다니는 맛집 . 어묵 육수 대박 💕,35,True
나누미떡볶이 성대본점,sunny2664,2878,2025.12.13,1번째 방문,영수증,쫄깃하니 맛있어요,9,True
나누미떡볶이 성대본점,리베레6,706,2025.12.12,2번째 방문,영수증,이 날 떡이 조금 퍼져 있어서 아쉽습니다.,23,True
나누미떡볶이 성대본점,MOON SUN,1278,2025.12.07,1번째 방문,영수증,떡이 쫄깃쫄깃 정말 맛있어요 어묵도 짱,21,True
나누미떡볶이 성대본점,hbdtil,545,2025.12.07,2번째 방문,영수증,"떡볶이, 김밥, 오뎅~ 👍",14,True
나누미떡볶이 성대본점,purple blossom,1458,2025.12.06,6번째 방문,영수증,굿!!,3,True
나누미떡볶이 성대본점,지니혀니규니,1100,2025.12.06,1번째 방문,예약,학교사람들과 같이 방문한 학교앞 맛집떡볶이집♡비싸도 안먹고 지나갈 수는 없는 맛집♡,46,True
나누미떡볶이 성대본점,wisejh75,1587,2025.12.04,2번째 방문,영수증,첫눈 오던날 연극 보러 갔다가 오랜만에 이집 떡볶이 급생각 나서 먹고 왔어요 여전히 맛있어요~,52,True
나누미떡볶이 성대본점,Wander4429,1246,2025.12.03,2번째 방문,영수증,넘 맛있어용🤩🤩🤩,9,True
나누미떡볶이 성대본점,쫑이의 뿌리깊은나무,19,2025.11.29,1번째 방문,영수증,성대 나누미떡볶이 ~~ 문묘은행나무 자주 오며가며 보다가 드디어 오늘 혜화동 왔다가 출추하고 궁금해서 먹었네요 ㅎㅎ 사람들도 많이들 먹길레 한식탐해서 ㅋㅋ 먹어보니 오~~ 오~~~ 말랑말랑 쌀떡볶이 ㅎㅎ 맛있네요. 고추장양념맛이 👍 굿 오뎅과 오뎅국물도 완전 내입에 딱에네요 😀 인근방 오면 자주 먹을듯 하네요. 오래전에 방송타고 안에 연예인 샐럽들 싸인 많은지 단박에 알겠더라구요. 떡볶이호랑이인데 맛집 추가하네요. 정말 찐으로 잘먹었습니다. 😃😄🫡,252,True
나누미떡볶이 성대본점,패스워드53,176,2025.11.29,1번째 방문,영수증,떡볶이집이지만 개인적으로는 어묵이 대표메뉴인 것 같아요. 어묵이 탱탱해서 식감도 좋고 진짜 맛있습니다.,57,True
나누미떡볶이 성대본점,미루아60,170,2025.11.28,1번째 방문,예약,제일 좋아하는 떡볶이에요 이거 먹으려고 빵먹고 소화차 종로에서 쭉 걸어갔어요 달짝지근하고 매콤하면서 쫀득한 쌀떡볶이는 여기가 최고예요~,75,True
나누미떡볶이 성대본점,purple blossom,1458,2025.11.25,5번째 방문,영수증,굿!!,3,True
나누미떡볶이 성대본점,다산티스트,16,2025.11.23,1번째 방문,영수증,떡볶이가 야들야들하고 맛있음. 아직 여기보다 더 맛있는 떡볶이집 서울에서 못 발견!!!!!!! 다른 메뉴는 차별성 덜 함,67,True
나누미떡볶이 성대본점,Knowingly,74,2025.11.22,1번째 방문,영수증,이 곳은 쌀떡볶이 오뎅과 김밥 순대를 팔아요. 정말 오랜만에 방문했지만 여전히 줄을 서서 포장이나 취식을 하고 있었어요. 쌀 떡볶이 맛을 제대로 보려면 이곳을 추천해요. 예전 추억 때문에 정말 많은 사람들이 찾고 있군요. 성 답 에 들린다면 꼭 다시 들르고 싶은 식당 입니다.,154,True
나누미떡볶이 성대본점,구름표범,65,2025.11.22,2번째 방문,영수증,떡뽁이 정말 너무나 맛있어요~ 쌀떡뽁이 방앗간에서 직접떡을 뽑는다고들었어요~ 따라할수없는 비법양념 ~쫄깃한떡 얌얌~ 부산에서 공수한 부산오뎅 ~ 오뎅으로도 유명해요^^ 맛있게잘먹었습니다. 요즘은 주문하고 음식차려주시고 자리에 앉는것같아요~ 아무래도 작고 아늑한 매장이라 손님과동선이 겹칠까봐~ 그런듯해요~매장에 손님이많아서 그런듯해요~ 맛있는 나누미떡뽁이 늦은시간도 걱정없이갈수 있어서 좋아요~🫡,221,True
나누미떡볶이 성대본점,Nanol,65,2025.11.21,1번째 방문,예약,김밥에 오이 들어서 좋아요! 떡볶이 떡 정말 사르르 녹습니다 정말 맛있어요 쫄깃쫄깃하고 갓뽑은거같은 떡이에요 소스는 좀 달아요 조금 덜달고 더 매콤하면 좋겠지만 아주아주맛있습니다,99,True
나누미떡볶이 성대본점,Beautysoo,2408,2025.11.18,8번째 방문,영수증,가격은 오르고 떡볶이용기는 점점 작아지네요 그대로 유지하고 가격이 오름 덜 서운했을텐데... 이젠 떡볶이랑 어묵먹어도 배가 안차요 ㅜㅜ,75,True
나누미떡볶이 성대본점,이쁜원생이,2612,2025.11.18,8번째 방문,영수증,가격은 계속 오르는데 용기는 점점 작아지네요. 많이 아쉽네요.ㅠㅠ,36,True
나누미떡볶이 성대본점,eunnnaa,1597,2025.11.16,1번째 방문,영수증,떡복이가 유명하다고 해서 먹어봄 좁은 가게안에 손님들이 가득하고 테이크아웃 손님들로 줄서 있는곳 빨갛게 보이는 떡복이는 엄청 매운정도는 아니고 먹을만해요 떡이 쫄깃함.,93,True
나누미떡볶이 성대본점,simplite,2319,2025.11.16,8번째 방문,예약,성대로 은행나무 보러갔다가 못봄 성대입구에 인파가 가득 수험생들과 부모들 및 나들이객으로 경찰들이 길 안내하고 복잡스러웠음,68,True
나누미떡볶이 성대본점,어른답자,186,2025.11.16,1번째 방문,영수증,24시 영업!! 그래서 어묵국물이 예술~~~.김밥은 쬐금 비싼듯^^ 그래도 아침일찍 따끈한 국물을 먹을수 있어서 좋았어요!!,69,True
나누미떡볶이 성대본점,Estcwj,357,2025.11.15,1번째 방문,영수증,,0,True
나누미떡볶이 성대본점,hyesung75,5776,2025.11.15,4번째 방문,영수증,맛도리자나,5,True
나누미떡볶이 성대본점,이차열83,2231,2025.11.15,1번째 방문,영수증,맛있어요,4,True
나누미떡볶이 성대본점,lik****,1058,2025.11.14,1번째 방문,영수증,맛있네요,4,True
나누미떡볶이 성대본점,swi****,976,2025.11.12,2번째 방문,영수증,,0,True
나누미떡볶이 성대본점,bcd1819,1433,2025.11.11,1번째 방문,영수증,왜 유명한지 모르겠는 맛,13,True
나누미떡볶이 성대본점,miky2850,3681,2025.11.11,19번째 방문,영수증,ㆍ,1,True
나누미떡볶이 성대본점,호불홓,800,2025.11.11,1번째 방문,영수증,포장해서 집에서 먹었어요. 쌀떡을 잘 안먹지만.. 유일하게 좋아하는 나누미 떡볶이! 달짝지근하면서 떡은 말랑말랑해 남녀노소 좋아하는 곳 입니다!,80,True
나누미떡볶이 성대본점,달빛v,627,2025.11.10,1번째 방문,영수증,👍,1,True
나누미떡볶이 성대본점,yako6476,1737,2025.11.09,1번째 방문,영수증,진짜 오랜만에 간 곳 떡뽁이 밋이 그대로네요 어묵도 맛나고 궁물도 깔끔 그자체 👍,45,True
나누미떡볶이 성대본점,mae****,854,2025.11.08,2번째 방문,영수증,,0,True
나누미떡볶이 성대본점,나2Za,1571,2025.11.05,1번째 방문,영수증,포장해서 원서공원에서&lt;&lt;,19,True
나누미떡볶이 성대본점,보라우아,387,2025.11.05,1번째 방문,영수증,생각 날 때마다 방문하는 집^^ 말랑말랑 거리는 식감의 떡볶이가 맛있고 쫄깃한 오뎅도 좋아요👍,52,True
나누미떡볶이 성대본점,탱글탱글알갱이,2344,2025.11.03,1번째 방문,예약,"떡볶이, 순대, 김밥 각각 1인분 5천원 요즘 물가가 미쳤다고는 하지만 학교앞치고 일반 김밥 5천원은 좀 비싸다고 느껴졌음🥲 근데 다 맛은 있었음",81,True
나누미떡볶이 성대본점,sdi****,2500,2025.11.01,1번째 방문,영수증,개인적인 입맛이지만 맛은별로에요.줄서서 먹을정도는 아닌것같아요.김밥은 짜고 떡볶이는 양이 너무 적고 오뎅이 걍 맛있었어요,67,True
나누미떡볶이 성대본점,미니소리야,805,2025.10.29,1번째 방문,영수증,떡이 부드러우니 좋아요!!! 역시 떡볶이 최고!!!,28,True
나누미떡볶이 성대본점,ㅁㄴㅇ2735,1794,2025.10.28,1번째 방문,영수증,성대앞 터줏대감 나누미 떡볶이 쫄깃한 쌀떡에 달고 매콤한 자극적인 떡볶이집이예요 초딩입맛이라면 아주 좋아할맛 전 맘에 들었습니다 ㅋㅋ 근데 떡볶이보다 더 추천하는건 어묵 미도어묵이라는데 크기도 크고 어묵이 엄청 쫄깃해요 자그마한 매장 가운데 여러명 앉을수있는 원형테이블하나있고 나머지는 벽따라 빙둘러앉아야해요 자리마다 양념장 휴지 수저통있고 오래된 가게인데 자리 끈적거리는거없이 깔끔해요,216,True
나누미떡볶이 성대본점,4 8 8 5,1362,2025.10.27,1번째 방문,영수증,24시간 떡볶이집은 또 흔치않죠 오후 5시쯤 갔는데 포장인지 홀인지 물어보시구 메뉴는 어떤거 주문할지 물어보신다음 안내받아 들어갔습니다 매장 내부는 크지는 않은데 원형테이블이 있고 벽보고 먹는 좌석이 있어 좌석 간격이 굉장히 좁긴 하지만 이것또한 여기 특유의 분위기라고 생각하니 나쁘지 않았습니다 저는 쌀떡볶이랑 어묵 2개로 주문했고 떡볶이는 쫀득하니 맛있었고 양념은 살짝콩 매콤한 느낌인데 약간 꾸덕하기때문에 튀김찍어먹고싶다 생각이 들었지만 여긴 김밥과 순대만 있어요 양은 5천원이라는 가격 대비 살짝 적은 편이라고 느꼈구요 어묵이야 국물까지 맛있게 먹었고 간장도 발라 먹었는데 특제간장인지 더 맛있습니다 벽에 많이 있는 유명인 싸인만큼 가게의 역사도 깊어보였습니다 큰 기대 없이 간다면 괜찮을 듯 해요,394,True
나누미떡볶이 성대본점,jjunplay,1959,2025.10.27,1번째 방문,영수증,유명한 떡볶이에는 이유가 있네요! 맛있습니다!,25,True
나누미떡볶이 성대본점,Dan991,585,2025.10.25,1번째 방문,영수증,24시간 영업이라 새벽에 택시타고 출동! 맛집이라 유명한 분들도 많이 온 것 같더라구요~ 배가 부른데도 자꾸 손이 가더라구요~😂,71,True
나누미떡볶이 성대본점,ONLYEONS,167,2025.10.25,1번째 방문,영수증,"순대 11개, 그리고 작은 부속 10개정도가 무려 5,000원입니다. 그릇도 아주 작구요. 파인 다이닝일까요? 궁금해서 물어보니 도대체 왜 물어보는지 모르겠다는 반응+물어보는 저를 이상한 사람 취급하는 반응. 양이 작아서 그런지 맛있게 감질나게 잘 먹었습니다! 서울엔 떡볶이 맛집이 많아요. 그리고 친절한 집도 많고요. 다른 맛집 가서 5,000원짜리 순대를 드셔도 후회는 없을 듯 합니다. 5,000원에 서비스 가격이 포함이라면 더더욱요.",246,True
