식당 이름,계정 ID,계정의 리뷰 수,방문 날짜,방문 횟수,인증 수단,리뷰 내용,리뷰 글자 수,리뷰 내 사진 유무
일등식당,지구인4154,2523,2026.02.21,5번째 방문,영수증,,0,True
일등식당,깜깜이50,1726,2026.02.15,2번째 방문,영수증,굿,1,False
일등식당,이땜땜이,1197,2026.02.08,1번째 방문,영수증,"해장국 8,000원!! 진짜 너무 맛있었어요. 고기도 부드럽고 국물도 맑고!!",43,True
일등식당,zuckerr,880,2026.02.07,1번째 방문,영수증,"유명하다고 해서 포장했는데, 양이 많아요.",23,True
일등식당,nks****,54,2026.02.06,1번째 방문,영수증,전부터 궁금했지만 가까이 산다는 이유로 멀리했던… 평일 늦은 점심 약간의 웨이팅 후 입장 ! 원래 좀 뜨겁지 않게 나오나 싶을 정도의 온도감이었는데 후에 다른 후기들을 보니 그건 아닌거 같더라구요.. 먹으면서 시래기도 맛있고 고기도 너무 부드러워서 다음엔 포장해서 집에서 뜨겁게 끓여먹자고 말할 정도로 맛은 기억에 남습니다. 후추를 좋아하지만 여기는 안넣는게 개인적으론 더 좋았어요🤓 잘먹었습니다🔥,222,True
일등식당,djs****,187,2026.02.03,1번째 방문,영수증,와정말 가격착하네요 푸짐하기도 하고요,20,True
일등식당,김설탕58,22,2026.02.03,1번째 방문,예약,여긴진짜 너무 맛있음,11,False
일등식당,sun****,1598,2026.02.01,3번째 방문,영수증,g,1,False
일등식당,씨지에스7,1938,2026.02.01,3번째 방문,영수증,g,1,False
일등식당,피러87,82,2026.01.31,1번째 방문,영수증,항상 아침일찍 포장해오는데 오픈시간이 늦춰진걸 모르고 갔다가 기다리는데 사장님이 고맙게도 오픈전인데 십여분일찍 포장해주셨네요^ 양도 많고 맛도좋아요. 😀,85,False
일등식당,아이미 IME,3629,2026.01.25,1번째 방문,영수증,친절하세요 가격도 착하고 양도적당해서 배부르게 먹었습니다 포장시 용기값있어요 냄비 가져오심 할인 쌉가능 😊,59,True
일등식당,skyLOVE,3582,2026.01.24,7번째 방문,영수증,역시 해장국은 일등식당 👍 살도 많고 부드럽고 뼈에서 쏙~분리도 잘 되요. 국물도 깔끔하고 시래기도 맛있어요. 오랜만에 공기밥 추가해서 순삭,78,True
일등식당,VIP44,1658,2026.01.23,2번째 방문,영수증,,0,True
일등식당,VIP44,1658,2026.01.18,1번째 방문,영수증,,0,True
일등식당,뀨81,820,2026.01.11,1번째 방문,영수증,가격도 착하고 맛나요♡,12,True
