store_name,platform,review_count,avg_food_score,avg_service_score,avg_price_score,avg_atmosphere_score,avg_wait_score,avg_revisit_score,avg_recommendation_score,avg_hygiene_score,avg_general_score,avg_total_score,avg_overall_sentiment_score,avg_sentiment_star,avg_rating,avg_diff_abs,positive_ratio,neutral_ratio,negative_ratio
각시보쌈,kakao,41,1.4634146341463414,-0.07317073170731707,0.25609756097560976,-0.012195121951219513,0.07317073170731707,-0.04878048780487805,0.04878048780487805,-0.0975609756097561,0.04878048780487805,1.6585365853658536,1.5957317073170731,3.51390243902439,3.5609756097560976,0.7739024390243903,0.6829268292682927,0.0,0.3170731707317073
각시보쌈,naver,127,1.937007874015748,-0.07874015748031496,0.20866141732283464,0.015748031496062992,0.027559055118110236,0.08661417322834646,0.08661417322834646,-0.06299212598425197,0.7559055118110236,2.9763779527559056,3.084842519685039,3.9070866141732283,,,0.7874015748031497,0.07086614173228346,0.14173228346456693
굴다리식당,kakao,25,0.48,-0.2,-0.02,0.12,0.0,0.08,0.04,-0.16,-0.32,0.02,0.007999999999999972,3.0272,2.92,0.4792,0.48,0.08,0.44
굴다리식당,naver,54,0.9814814814814815,-0.12962962962962962,0.037037037037037035,-0.046296296296296294,0.0,-0.05555555555555555,0.07407407407407407,-0.18518518518518517,-0.2962962962962963,0.37962962962962965,0.5634259259259259,3.2518518518518515,,,0.5555555555555556,0.018518518518518517,0.42592592592592593
금금,kakao,21,1.1428571428571428,-0.47619047619047616,-0.047619047619047616,0.0,0.0,-0.14285714285714285,-0.047619047619047616,-0.19047619047619047,-0.09523809523809523,0.14285714285714285,0.20476190476190487,3.1780952380952376,3.238095238095238,0.6495238095238095,0.5714285714285714,0.09523809523809523,0.3333333333333333
금금 성수점,naver,149,2.4966442953020134,0.14093959731543623,0.020134228187919462,0.1610738255033557,0.030201342281879196,0.3288590604026846,0.3691275167785235,0.0,1.0268456375838926,4.573825503355705,5.001174496644295,4.4893959731543625,,,0.9664429530201343,0.020134228187919462,0.013422818791946308
능동미나리 성수점,kakao,92,1.815217391304348,0.15217391304347827,-0.07608695652173914,0.021739130434782608,0.11956521739130435,0.21739130434782608,0.16304347826086957,0.0,0.5978260869565217,3.010869565217391,3.1472826086956522,3.9279347826086957,4.173913043478261,0.7003260869565218,0.8260869565217391,0.03260869565217391,0.14130434782608695
능동미나리 성수지점,naver,140,2.2785714285714285,0.22142857142857142,0.02857142857142857,0.05,0.11071428571428571,0.18571428571428572,0.2357142857142857,-0.02857142857142857,1.042857142857143,4.125,4.2941071428571425,4.204357142857143,,,0.9071428571428571,0.05714285714285714,0.03571428571428571
락희옥 마포본점,kakao,20,1.1,0.2,-0.45,0.7,0.0,0.35,0.0,0.0,0.7,2.6,2.7350000000000003,3.665,3.6,0.46099999999999997,0.55,0.05,0.4
락희옥 마포본점,naver,116,2.3879310344827585,0.46551724137931033,0.008620689655172414,0.5603448275862069,0.017241379310344827,0.25862068965517243,0.2672413793103448,0.0,1.4482758620689655,5.413793103448276,5.638793103448276,4.550948275862068,,,0.9741379310344828,0.017241379310344827,0.008620689655172414
