candidate_term,candidate_type,ngram_size,positive_hint,review_count,avg_rating,avg_category_total_score,example_review
다르다 두다 좋다,phrase,3,True,1,5.0,1.5,"지나다니면서 보니 웨이팅까지 하면서?... 오늘 처음 오픈런을 해봤.... 칼국수용 김치와 숙육용 김치가 다른데 둘다 좋았다. 오랜시간동안 자연스레 쌓아온 김치내공~ 요즘 또 배추가 제일 맛있을때라 그런지 적지도 과히지도 않은 맵기에 짠기가 생배추와 맞물려 조합이 좋았다. 생배추를 내놓는 집은 무.김치에 자신이 있다는 뜻으로도 해석할 수 있겠다.... 외국인들도 찾는곳이라 그런걸 수 있겠지만 식사중 밑바닥에 깔린 머리카락의 출현에 사장님이 군말없이 수육을 새 음식으로 내어주시면서 ""죄송합니다 ""라고 하시는데~ 웨이팅도 길고 또 그안"
물리다 조합 좋다,phrase,3,True,1,5.0,1.5,"지나다니면서 보니 웨이팅까지 하면서?... 오늘 처음 오픈런을 해봤.... 칼국수용 김치와 숙육용 김치가 다른데 둘다 좋았다. 오랜시간동안 자연스레 쌓아온 김치내공~ 요즘 또 배추가 제일 맛있을때라 그런지 적지도 과히지도 않은 맵기에 짠기가 생배추와 맞물려 조합이 좋았다. 생배추를 내놓는 집은 무.김치에 자신이 있다는 뜻으로도 해석할 수 있겠다.... 외국인들도 찾는곳이라 그런걸 수 있겠지만 식사중 밑바닥에 깔린 머리카락의 출현에 사장님이 군말없이 수육을 새 음식으로 내어주시면서 ""죄송합니다 ""라고 하시는데~ 웨이팅도 길고 또 그안"
맛있다 김치 달다,phrase,3,True,1,4.0,-3.0,항정살 보쌈이 부들부들 맛있었습니다. 김치도 달지도 않고 보쌈과의 조합도 잘 맞네요 문래점에서 먹고 실망했는데 본점은 다르네요 다만 규모에 비해 에어컨이 부족하여 땀흘리며 먹었네요... ㅠㅠ
보쌈 부들부들 맛있다,phrase,3,True,1,4.0,-3.0,항정살 보쌈이 부들부들 맛있었습니다. 김치도 달지도 않고 보쌈과의 조합도 잘 맞네요 문래점에서 먹고 실망했는데 본점은 다르네요 다만 규모에 비해 에어컨이 부족하여 땀흘리며 먹었네요... ㅠㅠ
부들부들 맛있다 김치,phrase,3,True,1,4.0,-3.0,항정살 보쌈이 부들부들 맛있었습니다. 김치도 달지도 않고 보쌈과의 조합도 잘 맞네요 문래점에서 먹고 실망했는데 본점은 다르네요 다만 규모에 비해 에어컨이 부족하여 땀흘리며 먹었네요... ㅠㅠ
엄마 제일 좋아하다,phrase,3,True,1,4.0,0.0,엄마가 제일 좋아하는 평냉집! 둘이 가서 평냉 하나에 빈대떡 하나 시켜 나눠먹고 후식으로 옆에 꽈배기집에서 통모짜핫도그 먹으면 갓벽한 염리동 루트
좋아하다 평냉집 가다,phrase,3,True,1,4.0,0.0,엄마가 제일 좋아하는 평냉집! 둘이 가서 평냉 하나에 빈대떡 하나 시켜 나눠먹고 후식으로 옆에 꽈배기집에서 통모짜핫도그 먹으면 갓벽한 염리동 루트
제일 좋아하다 평냉집,phrase,3,True,1,4.0,0.0,엄마가 제일 좋아하는 평냉집! 둘이 가서 평냉 하나에 빈대떡 하나 시켜 나눠먹고 후식으로 옆에 꽈배기집에서 통모짜핫도그 먹으면 갓벽한 염리동 루트
먹다 맛있다 같다,phrase,3,True,1,4.0,-2.5,평냉 입문자라 대단히 맛있고 맛 없고를 분간하기 어려운데.. 먹을수록 맛있는 것 같아요....! 다만 가격이 비싼 느낌 ㅎ.ㅎ
어렵다 먹다 맛있다,phrase,3,True,1,4.0,-2.5,평냉 입문자라 대단히 맛있고 맛 없고를 분간하기 어려운데.. 먹을수록 맛있는 것 같아요....! 다만 가격이 비싼 느낌 ㅎ.ㅎ
자라 대단하다 맛있다,phrase,3,True,1,4.0,-2.5,평냉 입문자라 대단히 맛있고 맛 없고를 분간하기 어려운데.. 먹을수록 맛있는 것 같아요....! 다만 가격이 비싼 느낌 ㅎ.ㅎ
대단하다 맛있다 분간,phrase,3,True,1,4.0,-2.5,평냉 입문자라 대단히 맛있고 맛 없고를 분간하기 어려운데.. 먹을수록 맛있는 것 같아요....! 다만 가격이 비싼 느낌 ㅎ.ㅎ
맛있다 같다 다만,phrase,3,True,1,4.0,-2.5,평냉 입문자라 대단히 맛있고 맛 없고를 분간하기 어려운데.. 먹을수록 맛있는 것 같아요....! 다만 가격이 비싼 느낌 ㅎ.ㅎ
맛있다 분간 어렵다,phrase,3,True,1,4.0,-2.5,평냉 입문자라 대단히 맛있고 맛 없고를 분간하기 어려운데.. 먹을수록 맛있는 것 같아요....! 다만 가격이 비싼 느낌 ㅎ.ㅎ
아주 맛있다 다만,phrase,3,True,1,4.0,-1.0,아주 맛있어요! 다만 김치가 매우 아쉬운 맛입니다 …
맛있다 다만 김치,phrase,3,True,1,4.0,-1.0,아주 맛있어요! 다만 김치가 매우 아쉬운 맛입니다 …
불다 해장국 추천,phrase,3,True,1,4.0,-3.0,아구힘 센 분이라면 뼈해장국 추천. 저는 뜯다가 국물이 좀 식었는데 음식이 식으면서 누린내가 꽤 났습니다. 우거지도 많이 주문하시던데 우거지 좀 궁금하네요. 허나 너무 바쁜 매장이라 먹을 수 있을지 걱정.
해장국 추천 뜯다,phrase,3,True,1,4.0,-3.0,아구힘 센 분이라면 뼈해장국 추천. 저는 뜯다가 국물이 좀 식었는데 음식이 식으면서 누린내가 꽤 났습니다. 우거지도 많이 주문하시던데 우거지 좀 궁금하네요. 허나 너무 바쁜 매장이라 먹을 수 있을지 걱정.
추천 뜯다 국물,phrase,3,True,1,4.0,-3.0,아구힘 센 분이라면 뼈해장국 추천. 저는 뜯다가 국물이 좀 식었는데 음식이 식으면서 누린내가 꽤 났습니다. 우거지도 많이 주문하시던데 우거지 좀 궁금하네요. 허나 너무 바쁜 매장이라 먹을 수 있을지 걱정.
들리다 고기 부드럽다,phrase,3,True,1,4.0,-1.0,"!! 인원별로 주문해야합니다 !! 4인이서 가서 대자 (49000원)로 시켰어요 사람이 많아서 그런가 직원분들이 조금 불친절 하셔서 1점 뺐어요 ㅠ 주말 오후 8시쯤에 가서 대기 10분정도 했고, 깍두기랑 소스가 킥이에요 굿임 한번쯤 성수오면 들릴만 하고 고기가 부드러웠어요"
불친절 빼다 주말,phrase,3,True,1,4.0,-1.0,"!! 인원별로 주문해야합니다 !! 4인이서 가서 대자 (49000원)로 시켰어요 사람이 많아서 그런가 직원분들이 조금 불친절 하셔서 1점 뺐어요 ㅠ 주말 오후 8시쯤에 가서 대기 10분정도 했고, 깍두기랑 소스가 킥이에요 굿임 한번쯤 성수오면 들릴만 하고 고기가 부드러웠어요"
조금 불친절 빼다,phrase,3,True,1,4.0,-1.0,"!! 인원별로 주문해야합니다 !! 4인이서 가서 대자 (49000원)로 시켰어요 사람이 많아서 그런가 직원분들이 조금 불친절 하셔서 1점 뺐어요 ㅠ 주말 오후 8시쯤에 가서 대기 10분정도 했고, 깍두기랑 소스가 킥이에요 굿임 한번쯤 성수오면 들릴만 하고 고기가 부드러웠어요"
직원 조금 불친절,phrase,3,True,1,4.0,-1.0,"!! 인원별로 주문해야합니다 !! 4인이서 가서 대자 (49000원)로 시켰어요 사람이 많아서 그런가 직원분들이 조금 불친절 하셔서 1점 뺐어요 ㅠ 주말 오후 8시쯤에 가서 대기 10분정도 했고, 깍두기랑 소스가 킥이에요 굿임 한번쯤 성수오면 들릴만 하고 고기가 부드러웠어요"
사장 불친절 테이블,phrase,3,True,1,4.0,-4.0,음식 잘 나오고 여자 직원분은 친절함 (다른 리뷰처럼 남자 사장은 불친절). 테이블 간격이 너무 좁아 정신없음
직원 친절하다 다른,phrase,3,True,1,4.0,-4.0,음식 잘 나오고 여자 직원분은 친절함 (다른 리뷰처럼 남자 사장은 불친절). 테이블 간격이 너무 좁아 정신없음
