manual_label,review_length,account_review_count,visit_count,has_photo,rating,account_avg_rating,has_generic_praise,generic_count,strong_generic_praise,generic_without_detail,short_generic_review,low_information_review,has_number_detail,number_detail_count,first_visit,revisit,account_review_count_is_1,account_review_count_under_5,account_review_count_under_10,account_review_count_over_50,account_review_count_over_100,has_menu,menu_count,category_count,has_detailed_negative,specific_review
0,37.513,284.536,1.745,0.742,4.256,4.192,0.754,1.21,0.324,0.179,0.321,0.226,0.034,0.047,0.413,0.081,0.149,0.242,0.294,0.406,0.309,0.345,0.575,0.599,0.2,0.523
1,140.195,239.005,1.264,0.672,3.072,3.644,0.717,1.474,0.411,0.017,0.008,0.012,0.193,0.318,0.38,0.046,0.074,0.173,0.234,0.482,0.36,0.734,2.485,1.301,0.534,0.9
